det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
0	0	0	1 1 0 1 0 0 1 1 1	32035	0.692
1	-0.90593	1	1 1 0 1 0 1 0 1 1	25472	0.641
0	0	1	1 1 0 1 0 1 0 1 1	26418	0.534
1	-1.0321	0	0 1 0 1 0 0 1 1 1	16898	0.837
1	-0.87813	0	0 1 1 0 0 1 0 1 1	8700	0.869
0	0	0	1 1 0 1 0 1 0 0 0	1716	0.627
0	0	0	1 1 0 1 0 1 0 1 0	2100	0.837
0	0	0	1 1 0 1 0 1 0 1 0	2255	0.741
0	0	0	1 0 1 1 0 1 0 1 0	2376	0.811
1	-1.0613	1	1 1 0 1 0 1 0 0 0	16770	0.360
1	-0.25244	0	1 1 0 1 0 1 0 0 0	12070	0.596
1	-0.31692	1	1 1 1 1 0 1 0 1 0	5063	0.732
1	-0.024788	0	1 1 1 1 0 0 1 1 0	5148	0.844
1	-1.0837	3	0 1 1 0 0 1 0 1 0	140184	1.591
0	0	1	1 1 1 0 0 1 0 1 1	11663	0.981
1	-0.6634	0	1 1 0 1 0 1 0 0 1	9425	0.444
0	0	0	1 0 1 1 0 0 1 1 1	28140	0.636
1	-1.1409	2	1 1 1 0 0 1 0 1 0	112200	1.485
0	0	3	1 1 0 1 0 1 0 1 0	37324	2.439
1	-0.47784	0	1 1 0 1 0 0 1 0 1	13728	0.786
1	-0.6042	0	1 1 0 1 0 0 1 0 1	14848	0.906
1	-0.17822	1	1 1 0 1 0 0 0 1 1	9130	0.327
0	0	1	1 1 1 0 0 1 0 1 1	18576	1.117
1	0.24565	1	1 0 0 1 0 0 1 0 0	5035	0.553
1	-0.9771	3	1 0 1 0 0 1 0 1 0	104120	0.720
1	-0.24998	1	1 1 0 1 0 1 0 1 0	28200	0.797
1	-0.006999	1	1 1 0 1 0 0 1 1 1	24750	0.629
1	0.19593	1	1 1 0 1 0 0 1 1 1	22620	0.746
0	0	0	1 1 1 0 0 0 0 1 0	14596	2.185
0	0	3	1 0 1 0 0 0 0 1 0	3392	1.212
0	0	2	1 1 1 1 0 1 0 1 0	16543	0.302
1	0.53189	1	1 1 0 1 0 0 1 0 1	43776	0.526
1	0.63009	0	1 1 0 1 0 1 0 0 1	65110	0.442
1	-0.90017	1	1 1 0 1 0 0 0 1 0	13559	0.608
1	-0.77756	1	1 1 1 0 0 1 0 1 1	25375	1.208
1	-0.14028	1	1 1 0 1 0 0 1 1 1	3526	0.519
1	-0.032537	0	1 1 1 1 0 0 0 1 0	6240	0.573
1	-1.0538	1	1 1 0 1 0 1 0 0 0	6288	0.362
0	0	2	1 0 1 0 0 1 0 1 0	49020	1.360
1	-0.35521	1	1 1 1 0 0 1 0 1 0	7920	0.806
0	0	1	1 1 1 0 0 1 0 1 0	5060	0.593
1	-0.75214	0	1 1 0 1 0 0 1 1 0	27270	0.667
1	-0.3019	1	1 1 0 1 0 1 0 1 1	18000	0.799
1	-0.5828	0	1 1 0 1 0 1 0 0 1	8400	0.667
0	0	0	1 1 1 1 0 1 0 0 1	11830	0.698
1	-1.0649	1	1 1 1 0 0 1 0 0 1	14859	0.921
1	-0.68005	1	1 1 1 1 1 1 0 1 0	56445	0.803
0	0	1	1 0 0 1 0 0 1 1 0	2408	0.764
0	0	1	1 0 0 1 0 0 1 0 0	5200	0.810
1	-1.0256	1	1 1 0 0 0 0 1 1 1	21432	0.927
0	0	1	1 1 0 0 0 0 1 1 1	24140	1.199
1	-0.76245	0	1 1 1 0 0 1 0 0 1	12312	0.947
1	-0.73475	0	1 1 1 0 0 1 0 1 1	19257	0.890
1	-0.54119	1	1 1 1 1 0 0 1 1 0	3920	0.608
1	-0.6709	1	1 0 1 0 0 1 0 0 0	28800	1.126
0	0	2	1 1 0 1 0 1 0 1 0	5904	0.877
1	0.072239	0	1 1 1 1 0 0 1 1 0	8532	0.729
1	-1.1197	2	1 1 1 0 0 1 0 0 1	182634	1.364
0	0	0	1 1 0 1 0 0 1 0 1	8881	0.774
0	0	1	1 1 0 1 0 0 1 1 1	12296	0.913
1	-0.49051	2	1 0 0 1 0 0 0 1 1	9416	0.821
0	0	1	1 1 0 1 0 0 1 0 0	3360	0.932
0	0	2	1 1 1 0 0 1 0 1 1	6020	0.812
1	-1.0875	0	1 1 1 1 0 0 1 1 1	31717	1.225
0	0	0	1 0 0 1 0 1 0 0 0	6955	0.604
1	-1.1002	0	1 0 0 0 0 0 1 0 1	27118	1.223
1	-0.88258	0	1 1 0 1 0 0 0 1 1	6734	0.811
0	0	2	1 1 0 1 0 1 0 1 0	5456	0.701
0	0	1	1 1 0 1 0 0 0 1 0	1989	0.760
0	0	1	1 0 0 0 0 0 1 1 1	34744	1.175
0	0	0	1 0 1 0 0 0 0 1 0	15400	0.784
1	-1.1539	1	1 1 0 1 1 0 1 1 0	66878	1.181
1	-0.50714	0	1 1 0 1 0 1 0 0 1	10956	0.626
1	0.004617	0	1 1 0 1 0 1 0 0 1	9384	0.489
1	-0.89419	0	1 1 0 1 0 1 0 0 1	13095	0.716
0	0	0	1 1 0 1 0 1 0 0 0	8613	0.878
0	0	0	1 1 0 0 0 1 0 0 0	4070	1.352
0	0	1	1 1 0 1 0 1 0 0 1	11815	0.609
1	-0.67866	2	1 0 0 1 0 1 0 0 1	8418	0.562
1	-0.10023	1	1 1 0 1 0 0 1 0 1	8584	0.635
0	0	1	0 1 0 1 0 0 1 0 0	7169	0.623
1	-0.75133	1	1 0 0 1 0 0 1 0 0	15255	0.836
0	0	1	1 1 0 1 0 0 1 1 0	16750	1.073
1	0.032723	1	1 1 0 1 0 1 0 1 1	13568	0.827
0	0	3	1 0 0 1 0 0 1 0 0	6806	1.012
0	0	2	1 0 0 1 0 0 1 0 0	4402	0.871
0	0	2	1 1 0 0 0 1 0 1 0	5358	0.602
0	0	1	1 1 0 0 0 1 0 1 0	4600	0.538
1	-0.47741	1	1 0 0 1 0 0 1 1 0	11484	0.376
0	0	2	1 1 0 0 0 0 0 1 0	10251	0.434
1	-0.82062	1	1 1 0 0 0 0 0 1 1	17584	0.712
0	0	1	1 1 0 1 0 0 0 1 0	11919	0.632
1	-0.91041	0	1 1 1 1 0 1 0 1 1	8652	0.814
1	-0.48326	1	1 1 0 1 0 1 0 1 0	6969	0.680
1	-0.7664	0	1 1 0 1 0 1 0 1 0	7668	0.654
0	0	0	1 1 0 1 0 1 0 0 0	6656	0.612
0	0	0	1 1 1 1 0 0 1 1 1	25350	1.128
0	0	2	1 1 0 1 0 0 0 1 0	12096	0.760
1	0.58856	1	1 1 0 1 0 0 1 1 1	17270	0.699
0	0	3	1 0 0 1 0 1 0 0 0	5848	0.788
1	-0.020038	0	1 0 0 0 0 0 1 0 0	36600	0.915
0	0	0	1 1 1 1 0 1 0 0 1	7755	0.386
0	0	1	1 0 0 0 0 0 1 1 1	19448	0.951
0	0	2	1 1 0 0 0 1 0 1 1	9384	0.901
1	0.18019	1	1 1 0 1 0 1 0 1 1	31382	0.641
0	0	1	1 1 1 0 0 1 0 1 0	10476	0.897
1	-0.12047	1	1 1 1 1 0 1 0 1 0	8280	0.571
1	-0.20172	0	1 1 0 1 0 0 1 0 0	9072	0.568
1	-0.41642	1	1 1 1 1 0 0 0 1 0	8000	0.508
0	0	0	1 1 0 1 0 0 1 1 1	17640	0.899
0	0	1	1 1 0 1 0 0 1 1 1	11858	1.237
1	-0.98283	1	1 0 0 1 1 0 1 1 0	61248	0.601
0	0	0	1 1 0 1 0 1 0 1 1	20584	0.745
0	0	0	1 1 0 1 0 1 0 1 1	16800	0.654
0	0	2	1 1 0 0 0 1 0 1 0	14706	0.883
1	-0.28683	2	1 0 0 1 0 1 0 0 0	14784	0.521
1	1.1173	1	1 1 0 1 0 0 0 1 1	21056	0.594
1	1.1684	1	1 1 0 1 0 0 0 1 1	22116	0.585
1	1.0121	0	1 1 0 1 0 0 1 0 1	25212	0.689
1	0.82518	0	1 1 0 1 0 0 1 0 1	27522	0.701
0	0	1	1 1 1 1 0 1 0 1 0	22800	1.013
1	-0.92341	1	1 1 1 1 0 1 0 1 0	11745	0.556
1	-0.16518	0	1 1 0 1 0 0 1 0 0	3300	0.581
1	-0.98267	2	1 0 1 0 0 0 0 1 1	11800	1.182
1	-0.9618	0	1 1 1 0 0 1 0 1 1	6750	0.831
0	0	2	1 1 0 0 0 1 0 0 1	8112	0.748
0	0	2	1 1 0 1 0 1 0 1 1	15408	0.741
0	0	1	1 0 1 1 0 0 0 1 1	52371	0.817
1	-0.49692	2	1 1 0 1 0 0 0 1 1	24276	0.581
0	0	0	1 1 0 0 0 0 1 0 1	15498	2.321
0	0	0	1 0 1 1 0 0 0 1 0	8326	0.250
1	-0.99203	1	1 1 0 0 0 1 0 0 0	18476	1.203
1	-0.62756	0	1 1 0 1 0 1 0 1 0	12744	0.915
1	-0.8931	2	1 1 1 0 0 1 0 1 0	98262	0.972
1	-0.91233	1	1 1 1 0 0 1 0 1 0	24084	0.482
1	0.18895	0	1 1 0 1 0 1 0 1 1	14938	0.627
1	-0.91948	0	1 1 1 1 0 0 0 1 1	24070	1.146
0	0	0	1 0 1 0 0 0 1 0 1	21965	1.667
1	-0.044638	0	1 1 0 1 0 0 1 0 1	19642	0.756
1	-0.33064	1	1 1 0 1 0 0 0 1 1	24552	0.624
0	0	2	1 1 0 1 0 0 1 1 0	7308	1.036
1	-0.98423	0	1 1 1 0 0 1 0 0 1	116202	1.128
0	0	2	1 1 0 1 0 1 0 1 1	91086	1.146
1	-0.88878	0	1 1 0 1 0 0 1 0 1	4690	0.957
0	0	1	1 1 0 1 0 1 0 0 0	2132	0.784
1	-0.67697	2	1 1 1 1 0 1 0 1 0	4752	0.915
1	-0.26127	2	1 1 1 1 0 1 0 1 0	4615	0.914
1	0.21428	1	1 1 1 1 0 1 0 1 0	6300	0.775
1	-0.61316	1	1 1 0 1 0 0 1 1 1	5184	0.558
0	0	1	1 1 0 1 0 1 0 1 0	10824	0.713
1	-0.93678	1	1 1 0 1 0 1 0 1 0	4959	0.651
0	0	1	1 1 0 1 0 0 1 1 0	2370	0.372
1	0.57952	1	1 1 0 1 0 0 1 1 0	4840	0.621
1	-0.99946	1	1 1 1 0 0 0 1 1 1	75446	1.333
1	-0.30665	0	1 1 1 1 0 1 0 1 0	14300	0.845
1	-0.9062	1	1 1 1 0 0 1 0 1 0	11312	1.110
1	0.46556	1	1 1 0 1 0 0 1 1 0	14529	0.518
0	0	2	1 0 0 1 0 0 0 1 0	11627	0.507
1	-1.007	2	1 1 1 0 0 1 0 0 0	53784	0.867
1	-0.33049	0	1 1 0 1 0 0 0 1 0	6885	0.373
1	-0.44042	1	1 0 1 1 0 0 1 1 1	32399	0.989
1	-0.84314	0	1 1 1 1 0 0 0 1 0	2714	0.776
1	-0.95941	0	1 1 1 0 0 1 0 1 1	130620	1.352
1	-0.72941	1	1 1 1 1 0 0 1 0 0	7904	0.728
1	-0.92014	0	1 1 1 0 0 1 0 1 1	54600	1.438
1	-0.96908	1	1 1 1 1 0 1 0 1 1	54036	0.962
0	0	2	1 1 0 0 0 0 0 1 1	3105	0.647
0	0	1	1 1 0 0 0 0 0 1 1	4307	0.806
0	0	1	1 1 0 1 0 1 0 1 1	8364	0.549
1	-0.60468	1	1 1 0 1 0 1 0 1 1	18000	0.447
1	-0.97689	1	1 0 1 1 0 0 1 1 0	8075	0.894
0	0	3	1 0 1 0 0 1 0 0 0	9504	1.845
1	-0.74344	1	1 1 0 1 0 1 0 1 0	34100	0.703
1	-0.94437	1	1 1 1 0 0 1 0 1 0	19968	1.220
1	-0.77487	2	1 1 0 1 0 0 0 1 1	21038	0.853
1	-0.91065	2	1 0 0 1 0 1 0 1 1	11455	0.542
0	0	1	1 0 0 1 0 1 0 1 0	4374	0.662
0	0	2	1 0 0 0 0 1 0 1 0	3096	0.592
0	0	1	1 1 0 1 0 1 0 0 0	20769	0.800
1	-0.92784	2	1 1 1 0 0 1 0 1 0	53946	1.095
1	-0.97251	0	0 1 1 0 0 1 0 1 1	7590	0.570
0	0	0	1 1 1 1 0 1 0 0 1	93749	0.619
1	-1.136	1	0 1 0 1 0 1 0 1 1	15360	1.067
0	0	1	1 1 0 0 0 0 0 1 1	9135	1.209
0	0	2	1 1 0 0 0 0 0 1 1	3360	0.470
0	0	3	1 1 0 1 0 0 0 1 0	3770	0.891
0	0	3	1 1 0 1 0 1 0 1 0	1632	0.620
0	0	2	1 0 0 1 0 0 1 1 0	2430	0.830
0	0	1	1 0 0 0 0 0 1 0 0	1296	0.239
1	-0.99114	1	1 1 0 1 0 1 0 0 0	42594	0.811
1	-0.96415	1	1 1 0 0 0 0 1 1 1	15900	1.419
1	-0.96256	2	1 0 1 0 0 1 0 1 0	92590	1.679
0	0	3	1 0 1 0 0 1 0 1 0	36157	1.209
1	-0.86136	2	1 1 1 0 0 1 0 0 1	52185	0.869
1	-0.94797	2	1 1 1 0 0 1 0 0 1	72790	1.156
1	-0.1597	0	1 1 0 1 0 0 0 1 0	30284	0.419
1	-1.1231	0	1 1 1 0 0 1 0 1 1	19584	1.197
1	-0.25225	1	1 1 0 1 0 0 0 1 1	7326	0.591
0	0	1	0 1 1 0 0 0 1 1 1	32239	3.059
1	-0.99264	0	1 1 0 0 0 1 0 1 1	82845	0.834
1	-0.83868	0	1 1 0 1 0 0 1 1 1	13482	0.848
1	-1.1202	0	1 1 0 1 0 0 0 1 1	12741	0.676
0	0	2	1 1 0 1 0 1 0 1 0	18624	0.503
1	-0.63779	1	1 1 0 1 0 0 1 1 0	9594	0.698
1	-0.72499	1	1 1 0 1 0 0 1 1 0	11648	0.928
1	-1.0844	0	1 0 0 0 0 0 0 1 1	9536	0.426
0	0	0	1 1 0 1 0 1 0 1 0	7150	0.345
1	-0.40761	0	1 1 0 1 0 1 0 1 1	34944	1.055
0	0	1	1 1 0 1 0 0 0 1 1	6696	0.570
1	-0.76779	1	1 1 0 1 0 0 1 0 0	6072	0.714
0	0	1	1 1 0 1 0 0 1 0 1	4977	0.795
0	0	2	1 1 0 1 0 0 1 1 1	4256	0.733
1	-1.1609	2	1 0 1 0 0 1 0 0 0	104291	2.394
1	-0.89137	2	1 1 0 0 0 1 0 1 1	21868	0.922
1	-0.66763	0	1 1 1 0 0 1 0 1 0	6256	0.736
1	-0.86021	2	0 0 1 0 0 1 0 1 1	45936	1.173
1	-0.42765	1	1 1 0 1 0 0 1 1 1	29127	0.606
1	-1.0552	0	1 1 0 1 0 1 0 1 1	45046	0.905
1	-0.93652	1	1 1 0 1 0 1 0 1 1	24753	0.495
1	-0.11691	2	1 1 0 1 0 0 1 1 0	15704	0.687
0	0	1	1 1 0 1 0 0 1 1 0	3444	0.482
1	-1.0477	1	1 1 1 0 0 1 0 0 1	186500	1.341
1	-0.97542	1	1 1 0 0 0 0 1 1 1	28880	0.799
1	-0.9723	0	1 1 1 0 0 0 0 1 1	25668	1.675
1	-0.81699	0	1 1 0 1 0 1 0 1 0	8979	0.590
1	-0.43121	1	1 1 0 1 0 1 0 1 0	8960	0.712
0	0	0	1 1 0 0 0 1 0 1 0	8850	1.581
1	-0.97845	3	1 1 0 1 0 0 0 1 0	12426	0.956
1	-1.1648	1	1 1 1 0 0 1 0 0 0	44884	1.169
1	-0.98306	1	1 1 1 0 0 1 0 1 0	50566	1.359
1	-0.97859	3	1 0 0 0 0 1 0 1 0	18422	0.807
0	0	1	1 1 1 1 0 1 0 1 1	6806	1.012
0	0	1	1 1 1 0 0 1 0 1 1	8008	0.967
1	-1.1712	0	1 1 0 1 1 1 0 0 0	78364	1.044
1	-1.1078	1	1 1 1 0 0 1 0 0 0	160820	1.150
1	0.41465	0	1 1 0 1 0 0 0 1 1	10044	0.650
0	0	2	1 1 0 1 0 0 0 1 1	3965	0.938
0	0	1	1 1 0 1 0 0 1 0 0	1377	0.520
0	0	1	1 1 0 1 0 0 1 0 0	1250	0.490
0	0	1	1 1 0 1 0 0 1 1 0	1316	0.587
0	0	0	1 1 0 1 0 1 0 0 1	20160	0.455
1	-1.11	1	1 1 1 0 0 1 0 1 0	100710	0.723
0	0	1	1 0 0 1 0 0 1 0 0	2820	0.780
0	0	0	1 0 0 1 0 0 1 0 0	3055	0.719
0	0	1	1 0 0 1 0 0 1 0 0	3016	0.895
0	0	0	1 0 1 1 0 0 0 1 0	2480	0.639
0	0	0	1 1 0 1 0 0 0 1 0	1040	0.373
1	-0.70729	1	1 1 1 1 0 1 0 1 1	12546	0.828
1	-0.58632	2	1 0 1 1 0 0 1 1 0	4732	0.567
1	-0.95273	1	1 1 1 1 0 0 1 1 0	7020	0.865
1	-0.58129	0	1 1 1 1 0 1 0 0 0	11610	0.634
0	0	0	1 1 1 0 0 0 0 1 1	24628	1.438
0	0	2	1 0 0 1 0 0 0 1 1	5700	0.248
1	-1.0811	0	1 1 0 0 0 1 0 1 1	116820	1.073
1	-1.1308	2	0 1 1 1 0 1 0 1 1	32218	0.983
1	-0.12994	1	1 1 0 1 0 0 0 1 1	9230	0.543
1	0.16519	1	1 1 0 1 0 0 1 0 1	14043	0.613
1	-0.78218	3	1 1 0 1 0 0 0 1 0	25088	0.651
1	-1.1325	1	1 1 1 0 0 0 1 1 1	19140	0.910
0	0	2	1 0 0 1 0 0 1 1 0	6210	0.336
0	0	2	1 0 0 1 0 0 1 1 0	6510	0.266
1	-0.32058	2	1 0 0 1 0 0 1 1 0	15204	0.461
0	0	1	1 1 0 1 0 0 1 1 1	23142	0.763
