det	conf	occ	p1 p2 p3 p4 p5 p6 v1 v2 v3 v4 v5 size	ratio(w/h)
1	-0.57019	1	1 0 1 0 0 0 0 0 0 1 0	22939	0.554
1	-0.58744	0	1 0 1 0 0 0 0 0 0 1 0	5800	0.576
1	-0.96629	0	1 0 1 0 0 0 0 0 0 0 1	57824	3.007
1	0.11721	0	1 0 1 0 1 0 0 0 0 1 0	43050	0.710
0	0	0	1 0 0 0 0 0 0 1 0 0 0	74108	0.507
0	0	1	1 0 0 0 0 0 0 1 0 0 0	25320	0.567
0	0	1	1 0 0 0 0 0 0 0 1 1 1	32832	1.424
1	-0.94818	0	1 0 1 0 0 0 0 1 0 1 0	85260	0.986
0	0	0	1 1 0 0 0 1 0 0 0 1 0	42042	4.412
0	0	1	1 0 0 0 0 0 0 1 0 0 0	1360	1.182
1	-0.77652	0	1 0 1 0 1 0 0 0 0 1 0	53345	0.966
1	-0.96305	0	1 0 0 0 0 0 0 1 0 1 0	4074	2.341
0	0	2	1 0 0 0 0 0 0 1 0 1 0	7007	2.958
1	-0.78244	0	1 0 1 0 1 0 0 0 0 1 0	25560	0.561
1	-0.54839	0	1 0 0 0 1 0 0 0 0 1 0	8307	0.603
0	0	0	1 1 0 0 0 0 0 0 0 1 0	4428	2.675
0	0	1	1 1 0 0 0 1 0 0 0 1 0	25833	4.179
0	0	1	1 1 0 0 0 1 0 1 0 1 1	66732	3.737
1	-0.78774	0	1 1 0 0 0 0 0 1 0 1 1	20540	1.217
0	0	0	1 1 0 0 0 0 0 1 0 1 0	1974	1.122
0	0	0	1 0 0 0 0 0 0 0 1 1 1	50170	0.595
0	0	0	1 0 0 0 0 0 0 0 0 1 1	30976	1.898
0	0	0	1 0 0 0 0 0 0 0 0 1 0	6012	4.743
0	0	1	1 0 0 0 0 0 0 0 0 1 1	12180	3.667
0	0	1	1 0 0 0 0 0 0 0 0 1 1	19008	3.704
0	0	1	1 0 0 0 0 0 0 0 0 1 0	4200	5.519
0	0	1	1 0 0 0 0 0 0 1 0 1 0	37408	0.744
0	0	0	1 1 0 0 0 0 0 0 0 1 0	165336	0.666
0	0	0	1 0 0 0 0 0 0 0 0 1 0	1248	5.133
1	-0.88147	0	1 1 1 0 0 1 0 0 0 1 0	44147	2.585
1	-1.0155	1	1 1 0 0 0 0 1 1 0 1 0	66862	1.642
0	0	0	1 0 0 0 0 0 0 0 0 1 0	18704	6.055
0	0	0	1 0 1 0 0 0 0 1 0 1 0	2091	0.800
0	0	0	1 0 0 0 1 0 0 0 0 1 0	10850	0.227
1	-0.89584	0	1 0 0 0 1 0 0 0 1 1 0	62425	0.825
0	0	0	1 0 0 0 0 0 0 1 0 1 1	21412	2.110
0	0	0	1 0 0 0 0 0 0 1 0 1 0	102630	1.061
0	0	0	1 0 0 0 1 0 0 0 0 1 0	83485	0.959
0	0	0	1 1 1 0 0 0 0 0 0 1 0	15429	1.255
0	0	1	1 0 0 1 0 0 0 0 0 0 1	18018	2.987
0	0	0	1 0 0 1 0 0 0 1 0 1 0	2291	2.786
0	0	0	1 1 0 0 0 0 0 1 0 1 0	4558	2.500
1	-0.88443	0	1 1 0 0 0 0 0 1 0 1 0	5194	1.865
1	-0.82984	0	1 1 0 0 0 1 0 0 0 1 0	17280	4.270
0	0	2	1 0 1 0 0 0 0 0 0 1 0	22256	1.953
0	0	1	1 0 0 0 0 0 0 0 0 1 1	3708	2.914
0	0	0	1 0 1 0 1 0 0 0 0 1 0	828	0.629
1	-0.67882	0	1 1 0 0 0 1 0 0 0 1 0	12529	2.818
0	0	0	1 0 0 0 0 0 0 0 0 1 0	1159	3.333
0	0	0	1 1 0 0 0 1 0 0 0 1 0	41328	3.315
0	0	0	0 1 0 0 0 0 0 0 1 0 0	118881	1.072
1	-0.50526	0	1 0 1 0 0 0 0 1 0 1 1	103304	0.848
0	0	1	1 0 1 0 0 0 0 0 1 1 0	108225	1.025
0	0	0	1 0 0 0 0 0 0 0 0 1 0	21684	3.597
0	0	0	1 0 1 0 0 0 0 0 0 1 0	2442	1.806
1	-0.92517	0	1 1 0 0 0 0 0 0 0 1 0	51392	2.421
1	-0.91635	1	1 1 0 0 0 0 0 0 0 1 1	40120	2.897
0	0	0	1 0 0 0 0 0 0 0 0 1 0	2001	2.429
0	0	0	1 0 0 0 0 0 0 0 0 1 0	2090	4.476
0	0	0	1 0 0 0 0 0 0 0 0 1 0	800	3.267
0	0	1	1 0 0 0 0 0 0 0 0 1 0	928	3.800
0	0	1	1 0 0 0 0 0 0 0 0 1 0	3190	3.893
0	0	0	1 1 0 0 0 1 0 1 0 1 1	122944	1.664
0	0	1	1 0 0 0 0 0 0 0 1 1 0	63481	1.606
0	0	0	1 0 1 0 1 0 0 0 0 1 0	25020	0.771
1	-0.968	0	1 0 1 0 1 0 0 0 0 1 0	39072	0.792
1	-0.58433	0	1 0 1 0 0 0 0 0 0 1 0	12155	0.592
1	-1.0297	0	1 1 0 0 0 0 0 0 0 1 0	15958	1.570
0	0	2	1 0 1 0 0 0 0 0 0 1 0	7568	1.024
1	-0.9299	0	1 0 0 0 0 0 0 0 0 1 0	3150	1.805
0	0	0	1 0 1 0 0 0 0 1 0 1 0	1890	0.377
0	0	1	1 1 0 0 0 0 0 0 0 1 0	32136	3.049
1	-0.79512	0	1 0 1 0 0 0 0 0 0 1 0	6864	0.631
0	0	0	1 0 0 0 0 0 0 0 0 1 0	3822	2.195
0	0	0	1 0 0 0 1 0 0 0 0 1 0	148335	0.685
0	0	0	1 1 0 0 0 0 0 0 0 1 0	35868	3.763
1	-0.87634	1	1 0 0 0 0 1 0 0 0 1 0	5671	2.038
0	0	1	1 0 0 0 0 0 0 1 0 1 1	4070	1.352
0	0	2	1 0 0 0 0 0 0 0 0 1 1	7392	1.708
0	0	0	1 0 0 0 0 0 0 0 0 1 0	7296	2.268
1	-0.46759	0	1 0 1 0 1 0 0 1 0 0 0	134235	0.604
0	0	0	1 0 0 0 1 0 0 0 0 1 0	459	0.615
0	0	0	1 0 1 0 0 0 0 0 0 1 0	2209	1.000
0	0	0	1 0 0 0 0 0 0 0 0 1 0	1050	1.708
0	0	0	1 1 0 0 0 0 0 0 0 1 0	1595	1.929
0	0	1	1 1 0 0 0 0 0 1 0 1 0	22260	2.029
1	-0.91141	2	1 1 0 0 0 0 0 0 1 1 0	24625	1.581
0	0	0	1 0 1 0 1 0 0 0 0 1 0	64815	0.341
1	-0.98842	0	1 0 1 0 1 0 0 0 0 1 1	129090	0.848
0	0	0	1 0 1 0 0 0 0 1 0 1 0	1100	0.558
0	0	0	1 0 0 0 0 0 0 0 1 1 1	1702	1.250
1	-0.64793	0	1 0 1 0 0 0 0 0 0 1 0	7650	0.733
0	0	0	1 0 0 0 0 0 0 0 0 1 0	12690	4.415
1	-0.59413	0	1 0 1 0 1 0 0 1 0 1 0	9480	0.655
0	0	0	1 0 0 0 1 0 0 0 0 1 0	1088	0.939
0	0	0	1 0 0 0 1 0 0 0 0 1 0	16471	0.500
1	-0.35516	0	1 0 0 0 1 0 0 0 0 1 0	15224	0.506
1	-0.95535	0	1 0 1 0 1 0 0 0 0 1 0	107062	1.481
0	0	0	1 0 1 0 0 0 0 1 0 0 0	2256	0.247
0	0	0	1 1 0 0 0 1 0 0 1 1 0	3540	1.017
0	0	2	1 1 0 0 0 1 0 0 1 1 0	2145	1.421
1	-1.0103	0	1 0 0 0 0 0 0 1 0 1 1	69930	1.589
1	-0.48624	0	1 1 1 0 0 0 0 0 0 1 0	6545	0.905
1	-0.75083	0	1 0 1 0 0 0 0 0 0 1 0	2660	0.536
0	0	1	1 0 0 0 1 0 0 1 0 1 0	10764	0.248
0	0	0	1 0 0 0 0 0 0 0 0 1 0	4902	3.459
1	-0.40103	0	1 0 1 0 1 0 0 1 0 1 0	64600	0.558
0	0	0	1 0 1 0 0 0 0 0 0 1 0	110565	1.485
0	0	0	1 1 0 0 0 0 0 0 1 1 0	9165	2.188
0	0	0	1 0 0 0 0 0 0 0 0 1 0	1140	3.278
1	-0.87274	0	1 0 1 0 0 0 0 1 0 1 0	84762	1.105
1	-0.98045	0	1 1 1 0 0 1 0 0 1 1 0	135278	1.656
0	0	0	1 0 0 0 0 0 0 0 0 1 0	2604	3.407
0	0	1	1 0 0 0 0 0 0 0 0 1 0	1976	3.000
1	-0.89713	0	1 0 0 0 0 0 0 1 0 1 0	28690	3.202
0	0	0	1 0 0 0 0 0 0 0 0 1 0	9610	2.525
1	-0.95428	1	1 1 0 0 0 1 1 1 0 1 0	82880	2.429
0	0	2	1 0 0 0 0 0 0 0 0 1 1	23980	0.493
0	0	0	1 0 0 0 0 0 0 0 0 1 0	8321	3.000
1	-0.61573	0	1 0 1 0 0 0 0 0 0 1 0	12104	0.652
0	0	2	1 0 0 0 0 0 0 0 0 1 0	9118	4.196
1	-0.86689	0	1 1 1 0 0 0 0 0 1 0 0	36630	0.934
1	-0.93618	0	1 0 1 0 0 0 0 0 0 1 0	101304	1.598
1	-1.002	1	1 0 0 0 0 0 0 0 1 1 0	102410	2.351
1	-0.77713	0	1 1 0 0 0 1 0 1 0 1 0	85239	1.600
1	-0.93718	0	1 0 1 0 0 0 0 0 0 1 0	18426	0.667
0	0	0	1 1 0 0 0 1 0 0 0 1 1	109250	2.070
0	0	0	1 0 0 0 1 0 0 1 0 1 0	23478	0.313
0	0	0	1 0 0 0 1 0 0 1 0 1 0	6600	0.374
1	-0.9017	0	1 1 0 0 0 0 0 0 0 1 0	82416	1.985
0	0	1	1 0 0 0 0 0 0 0 0 1 0	24806	1.006
0	0	0	1 1 0 0 0 0 0 1 0 1 1	52332	1.655
0	0	1	1 0 0 0 0 0 0 1 0 1 0	49910	3.798
1	-0.57033	1	1 0 1 0 1 0 0 0 0 1 0	28623	0.693
0	0	0	1 0 1 0 0 0 0 1 0 0 0	2223	0.679
0	0	1	1 0 0 0 0 0 0 1 0 0 0	1216	1.194
0	0	0	1 0 0 0 0 0 0 1 0 0 0	504	1.150
0	0	0	1 0 0 0 0 0 0 0 0 1 0	1302	3.050
0	0	1	1 1 0 0 0 0 0 1 0 1 0	3936	1.723
0	0	0	1 0 0 0 0 0 0 0 0 1 0	832	3.400
1	-0.6913	0	1 0 1 0 0 0 0 0 0 1 0	8216	0.757
1	-0.63239	0	1 0 1 0 0 0 0 0 0 1 0	72420	0.573
1	-0.85454	0	1 0 0 0 1 0 0 0 0 1 0	41772	1.335
0	0	1	1 1 0 0 0 0 0 1 0 1 0	34540	2.872
1	-0.89545	0	1 1 0 0 0 0 0 0 1 1 0	9118	0.969
1	-0.69313	1	1 1 0 0 0 1 0 1 0 1 0	51982	2.089
0	0	0	1 1 0 0 0 1 0 0 0 1 0	25273	1.571
0	0	1	1 0 0 0 0 0 0 0 1 1 1	34600	1.157
0	0	1	1 0 0 0 0 0 0 0 0 1 0	33345	3.723
0	0	2	1 0 0 0 0 0 0 0 1 0 0	14700	1.475
1	-0.38319	0	1 0 1 0 1 0 0 0 0 1 0	80100	0.890
0	0	2	1 1 0 0 0 0 0 0 0 1 0	27936	3.053
0	0	0	1 0 0 0 1 0 0 0 0 1 0	2419	0.690
0	0	0	1 0 0 0 1 0 0 0 0 1 0	1160	0.718
0	0	0	1 0 0 0 1 0 0 0 0 1 0	1551	0.696
1	-0.77628	0	1 0 0 0 1 0 0 0 0 1 0	1848	0.582
0	0	0	1 0 0 0 1 0 0 0 0 1 0	759	0.688
0	0	0	1 0 1 0 0 0 0 0 0 1 0	31773	0.247
1	-0.97724	0	1 0 0 0 0 0 0 0 1 1 1	8174	2.217
0	0	1	1 0 0 0 0 0 0 0 1 0 0	89500	2.803
0	0	1	1 0 0 0 0 0 0 0 0 1 0	1500	3.895
0	0	0	1 1 0 0 0 0 0 0 0 1 0	1242	2.409
0	0	0	1 1 0 0 0 1 1 1 0 1 0	8800	1.138
1	-0.37851	0	1 0 1 0 1 0 0 0 0 1 0	66768	0.685
0	0	0	1 1 0 0 0 1 0 0 0 1 0	25185	4.778
0	0	0	1 0 0 0 0 0 0 0 1 0 0	836	0.568
0	0	0	1 0 1 0 0 0 0 1 0 0 0	5005	0.239
0	0	0	1 0 0 0 0 0 0 1 0 1 1	105105	1.412
1	-0.96227	0	1 1 0 0 0 1 0 0 0 1 0	53582	2.524
0	0	1	1 1 0 0 0 1 0 0 0 1 0	15700	1.576
0	0	0	1 1 0 0 0 0 0 1 0 1 0	899	1.071
0	0	1	1 0 1 0 0 0 0 0 1 0 1	187000	1.338
