det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
0	0	0	1 1 1 1 1 0 0 1 0	40110	0.909
1	0.27154	0	1 1 1 1 0 0 0 1 0	15336	2.986
1	1.1181	0	1 1 1 1 0 0 0 1 0	63720	3.515
1	0.14083	0	1 1 1 1 1 0 0 1 0	46287	2.406
1	0.18072	0	1 1 1 1 0 0 0 1 0	70499	3.465
0	0	3	0 0 0 1 1 0 1 0 0	4048	0.517
1	-0.43679	0	1 1 1 1 0 0 0 1 0	78120	2.778
0	0	0	1 1 1 1 0 0 0 0 1	868	1.111
1	0.83106	0	1 1 1 1 0 0 0 1 0	44955	3.673
1	-0.26962	0	0 0 1 0 0 0 0 1 0	131738	1.203
1	-0.7506	0	1 0 1 1 0 1 0 1 0	157000	1.594
1	0.5218	0	1 1 1 1 0 0 0 1 0	19788	4.328
1	-0.23782	0	1 1 1 1 0 0 0 1 0	16498	3.125
0	0	0	1 0 0 1 0 0 0 1 0	8844	1.985
1	-0.098808	0	1 1 0 1 1 1 0 0 0	40040	3.330
1	-0.34591	1	0 1 1 1 0 1 0 0 0	57771	2.685
0	0	1	1 1 1 0 0 0 0 1 0	30600	3.081
1	0.49797	1	1 0 1 1 0 0 0 1 0	47570	2.662
1	1.1148	0	1 1 1 1 1 0 0 1 0	87360	2.646
0	0	0	1 1 1 1 0 0 0 1 0	8216	3.078
1	0.38317	0	1 1 1 1 1 0 0 1 0	21100	2.121
1	0.81472	0	1 1 1 1 0 0 0 1 0	78648	2.607
0	0	1	1 0 0 1 0 0 0 1 0	867	3.125
0	0	0	1 1 1 1 0 0 0 1 0	13970	1.156
0	0	0	1 1 1 1 1 0 0 1 0	3904	1.050
1	-0.69379	0	1 1 1 1 0 1 0 1 1	102544	1.909
1	0.46315	0	1 1 1 1 0 0 0 1 0	6364	3.500
0	0	0	1 1 1 1 0 0 0 1 0	630	2.929
1	-0.26638	0	1 1 1 1 0 1 0 1 1	78581	2.461
1	0.062038	0	1 1 1 1 0 0 0 1 0	65037	3.697
1	-0.2768	0	1 1 1 1 1 0 0 1 0	22248	4.338
0	0	1	1 1 1 1 0 0 0 1 0	19256	2.817
0	0	1	1 1 1 1 0 0 0 1 0	16936	3.208
0	0	0	1 1 0 0 0 0 0 1 0	9516	2.583
0	0	1	1 1 1 1 0 0 0 1 0	16498	3.125
0	0	0	1 1 1 1 0 0 0 1 0	18200	3.754
0	0	0	1 1 1 1 0 0 0 1 0	19125	3.432
1	-0.7582	0	0 1 1 1 0 1 0 0 0	128079	0.804
1	-0.004789	0	1 1 1 1 0 0 0 1 0	63441	2.519
1	0.85602	0	1 1 1 1 0 0 0 1 0	48645	3.702
0	0	0	1 0 1 0 0 1 0 1 0	3744	2.500
0	0	1	1 0 1 0 0 0 0 1 0	6040	3.846
0	0	1	1 0 1 0 0 0 0 1 0	4218	3.139
0	0	0	0 0 0 1 0 1 0 1 0	126746	1.968
1	-0.15801	0	1 1 1 1 0 0 1 1 1	147840	0.692
1	-1.0297	0	1 1 1 1 0 0 1 1 0	2700	3.069
1	0.41561	0	1 1 0 1 0 0 0 1 0	50024	4.660
0	0	0	1 1 1 1 0 1 0 1 0	26368	2.500
0	0	1	1 1 1 1 0 0 0 1 0	5133	1.483
1	-0.020762	0	1 1 1 1 0 0 0 1 0	56573	2.942
1	0.28562	0	1 1 1 1 0 0 0 1 0	69768	2.394
1	-0.53169	0	0 1 1 1 0 1 0 0 0	113680	2.117
1	-0.58203	0	1 1 1 1 1 0 0 0 0	851	1.636
1	-0.43725	0	1 1 1 1 1 0 0 1 0	2349	2.857
0	0	0	0 1 0 1 0 1 0 0 0	135728	1.838
1	-0.67302	0	1 1 1 1 0 1 0 1 1	57348	1.835
1	-0.4691	0	1 1 1 1 0 0 0 1 0	103455	2.375
1	-0.59228	0	1 1 1 1 1 1 0 1 0	14820	0.876
1	0.54354	0	1 0 1 1 0 0 0 1 0	57782	2.078
1	-1.1769	0	1 1 0 1 0 1 0 1 0	113500	2.208
1	-0.3693	0	1 1 1 1 0 1 0 1 0	152500	1.641
1	-0.64809	0	1 1 1 1 1 0 0 1 0	35604	4.242
1	0.16577	0	1 1 1 1 0 0 0 1 0	112000	2.238
1	0.19138	0	1 1 1 1 0 0 1 1 0	41040	3.542
0	0	2	1 1 0 1 0 0 0 1 0	9828	2.500
1	0.12774	0	1 1 1 1 0 0 0 1 0	22473	2.306
1	0.20213	0	1 1 0 1 0 0 0 1 0	74400	3.322
0	0	0	1 1 1 0 0 0 0 1 0	1452	3.095
0	0	0	1 1 1 1 1 0 0 1 0	3536	1.314
1	0.087092	0	1 1 1 1 0 0 0 1 0	64812	3.740
1	0.11674	0	1 1 1 1 0 0 0 1 0	51121	4.333
0	0	0	1 1 1 1 1 0 0 0 0	3016	0.895
1	-0.67397	0	1 0 0 1 0 1 0 1 0	119500	2.097
1	0.92745	0	1 1 1 1 1 0 1 1 0	91675	2.469
1	-0.39865	0	1 1 1 1 0 0 0 1 0	44080	3.296
1	-0.80409	0	1 1 0 1 1 1 0 0 0	125249	1.992
1	-0.057088	0	0 1 0 1 0 1 0 0 0	94927	2.611
1	0.48998	0	1 1 1 1 0 0 1 1 0	97800	2.452
1	0.30196	0	1 1 1 1 0 0 0 1 0	66420	3.664
0	0	1	1 1 0 1 1 1 0 1 0	64964	2.939
1	1.2503	0	1 1 1 1 0 0 0 1 0	89775	2.521
0	0	0	1 1 1 1 1 0 0 0 0	567	0.769
0	0	0	1 1 1 1 1 0 0 0 0	374	0.762
0	0	0	1 1 1 1 1 0 0 0 0	456	0.783
0	0	0	1 1 1 1 1 0 0 0 0	442	0.640
1	0.22137	1	1 1 1 1 0 0 0 1 0	51296	4.117
1	-0.98752	0	1 1 1 1 0 0 0 1 0	20376	3.972
1	-0.82997	1	1 1 1 1 0 1 1 0 0	163173	1.528
1	0.35318	0	1 1 1 1 0 0 0 1 0	5760	2.532
1	0.17395	0	1 1 1 1 0 0 0 1 1	118048	2.089
1	0.25373	0	1 1 1 1 1 0 0 0 0	2520	0.800
1	-0.66853	2	1 1 1 1 0 1 0 1 0	49312	2.759
1	0.19706	0	1 1 1 1 0 0 0 1 0	63960	3.806
1	1.0715	0	1 1 1 1 1 0 0 1 0	24888	2.406
1	-0.30234	0	1 1 1 1 1 0 0 0 0	5226	1.167
0	0	0	1 1 1 1 0 0 0 1 0	7440	0.480
1	0.94996	0	1 1 1 1 0 0 0 1 1	22755	1.508
1	0.90894	0	1 1 1 1 0 0 0 1 1	24628	1.438
0	0	0	1 1 1 1 0 0 0 0 1	21375	0.729
1	-0.29112	0	1 1 1 1 0 1 0 1 0	146207	1.705
1	0.79003	0	1 1 1 1 1 0 0 1 0	46690	2.229
0	0	0	1 1 1 1 0 0 1 1 1	8856	1.718
1	0.44199	0	1 1 1 1 0 0 1 1 0	3304	4.333
1	-0.59329	0	1 1 1 1 1 0 0 1 0	128304	1.844
0	0	0	1 1 1 1 0 1 0 1 0	8798	3.173
1	-1.1303	0	1 1 1 0 0 0 0 1 0	1650	2.708
1	-0.3295	0	1 1 1 1 0 1 0 1 0	82840	2.302
1	0.50451	0	1 1 1 1 1 0 0 1 0	50718	4.462
1	-0.97005	0	0 1 0 0 0 1 0 1 0	146400	0.915
0	0	0	1 1 0 1 0 1 0 0 0	11178	3.887
1	-0.65321	1	1 1 0 1 0 0 0 1 0	86862	2.519
1	-0.86181	1	0 1 0 1 0 1 0 0 0	40089	1.550
1	-0.062435	0	1 1 1 1 0 0 0 1 0	12312	3.839
1	0.045648	0	1 0 1 1 0 0 0 1 1	82248	2.437
1	-0.23594	0	1 1 1 1 0 0 0 1 0	52052	2.203
0	0	0	1 1 1 1 1 0 0 1 0	83470	2.899
0	0	1	1 1 1 0 0 0 0 1 0	18396	4.694
1	0.32173	0	1 1 1 1 0 0 0 1 0	75604	2.822
1	-0.045535	0	1 1 1 1 0 0 0 1 0	80272	2.692
0	0	0	1 1 1 1 1 0 0 1 0	32600	0.814
1	0.27717	0	1 1 1 1 0 0 0 1 0	56695	2.708
0	0	0	0 1 0 1 0 1 0 0 0	1575	2.583
0	0	0	0 1 0 1 0 1 0 0 0	1403	2.727
0	0	0	0 1 0 1 0 0 1 0 0	1674	2.346
0	0	0	0 1 0 1 0 1 0 0 0	1386	2.952
0	0	0	0 1 0 1 0 1 0 0 0	1488	2.652
0	0	0	0 1 0 1 0 1 0 0 0	1638	2.480
1	-0.48168	1	1 1 1 1 0 0 0 1 0	54786	2.891
1	1.0454	0	1 1 1 1 0 0 0 1 0	76314	3.070
1	0.542	0	1 1 1 1 0 0 0 1 0	81796	2.875
0	0	0	1 1 1 1 0 0 1 1 1	46428	4.162
0	0	1	0 0 1 1 0 0 1 0 0	5883	4.389
0	0	1	1 0 1 0 0 0 0 1 0	700	1.789
1	-0.16838	0	1 1 1 1 0 0 0 1 0	3315	2.211
0	0	0	1 1 1 1 0 0 0 1 0	2765	2.294
0	0	0	1 1 1 1 0 0 0 1 0	2607	2.438
0	0	0	1 1 1 1 0 0 0 1 0	2349	2.857
0	0	0	1 1 1 1 0 0 0 1 0	2988	2.343
0	0	0	1 1 1 1 0 0 0 1 0	6678	3.854
1	-1.0299	0	1 1 1 1 1 1 0 1 0	89157	1.290
1	-0.2522	1	1 1 1 1 0 0 0 1 0	55278	4.518
1	-0.39635	0	1 1 1 1 0 1 0 1 0	91254	2.265
1	-1.3027	2	1 0 1 1 0 0 0 1 0	34424	3.204
0	0	0	1 1 1 1 1 0 0 1 0	5236	0.882
1	-0.029239	0	1 1 1 1 1 0 0 1 0	3738	2.146
0	0	0	1 1 1 1 1 1 0 1 0	28028	2.938
0	0	0	1 1 1 1 1 1 0 1 0	5994	2.075
1	0.52255	0	1 0 1 1 1 0 1 1 0	107784	2.316
0	0	1	1 0 1 1 1 0 1 1 0	45756	2.992
1	0.26984	0	1 1 1 1 0 0 1 1 0	148281	1.575
1	-0.8494	0	1 0 1 0 0 0 0 1 0	81069	2.429
0	0	3	1 1 1 1 0 0 1 1 0	26429	2.321
0	0	0	1 1 1 1 0 1 0 1 0	11564	3.362
1	0.05142	0	1 1 1 1 0 1 0 1 0	63778	3.134
0	0	0	1 1 1 1 0 1 0 1 0	3939	2.632
1	1.2122	1	1 1 1 1 0 0 0 1 0	57477	2.671
1	-0.15267	1	1 1 1 1 0 0 0 1 0	75690	2.509
1	0.24167	0	1 0 1 1 0 0 0 1 0	114958	1.828
0	0	1	1 1 1 1 0 1 0 1 1	52140	2.096
1	-0.14513	0	1 0 1 1 1 0 0 1 0	1352	2.040
1	-0.28323	0	1 1 1 1 0 0 0 1 0	14904	2.288
1	-0.052266	0	1 1 1 1 0 1 0 1 0	38760	3.752
0	0	0	1 1 1 1 0 0 0 0 1	43442	0.948
1	0.27775	0	1 1 1 1 0 0 0 1 0	13824	2.690
0	0	1	1 0 1 1 1 0 0 1 0	3610	2.541
1	-0.38384	0	1 1 1 1 0 0 0 1 0	65280	2.266
1	-0.47587	0	1 1 1 1 0 1 0 1 0	150894	1.646
0	0	0	1 1 1 1 0 1 0 1 0	4240	2.692
1	-0.28738	0	1 1 1 1 0 0 0 0 1	21027	0.790
0	0	3	1 1 1 1 0 0 0 1 1	12350	0.729
1	-0.68323	0	1 1 1 1 0 1 0 1 0	39260	2.333
1	-0.38443	0	1 1 1 1 0 0 0 1 0	86416	2.800
1	-0.45316	0	1 1 0 1 0 0 0 1 0	121114	1.472
1	-0.33877	1	1 1 1 1 0 1 0 1 1	9867	2.088
0	0	0	1 1 1 1 0 0 0 1 0	53789	2.432
1	-0.19506	0	1 1 1 1 0 0 0 1 0	67734	2.690
1	0.082348	0	1 1 1 1 0 0 0 1 0	58500	3.481
1	0.93142	0	1 1 1 1 0 0 1 1 0	75894	2.298
0	0	1	1 1 0 1 0 1 0 1 0	2618	2.303
0	0	0	1 1 1 1 0 1 0 1 0	41900	4.222
1	0.37082	0	1 1 1 1 0 0 0 1 0	33387	3.891
1	-0.85714	1	1 1 0 0 0 0 0 1 0	148500	1.686
1	0.9334	0	1 1 1 1 0 0 0 1 0	74412	3.071
0	0	2	1 0 1 1 0 0 1 1 0	7987	3.375
1	-0.10164	0	1 1 1 1 0 0 0 1 0	43888	4.087
1	-0.23544	0	1 1 1 1 0 1 0 1 0	56628	3.267
0	0	0	1 1 1 1 1 0 0 0 0	306	1.063
0	0	0	1 1 1 1 1 0 0 0 0	270	1.214
0	0	0	1 1 1 1 1 0 0 0 0	340	1.188
0	0	0	1 1 1 1 1 0 0 0 0	306	1.063
1	-0.38388	0	1 1 1 1 1 0 0 0 0	320	1.267
0	0	0	1 1 1 1 1 0 0 0 0	238	1.231
0	0	0	1 1 1 1 1 0 0 0 0	270	1.214
0	0	0	1 1 1 1 1 0 0 0 0	252	1.308
0	0	0	1 1 1 1 1 0 0 0 0	300	1.357
1	-0.48267	1	1 1 0 1 1 0 0 1 0	94806	2.218
0	0	0	1 1 1 1 1 0 0 1 0	79184	2.067
1	-0.65372	0	1 1 0 1 0 0 0 1 1	162916	1.427
0	0	1	1 0 0 1 0 0 0 1 1	32107	3.438
0	0	1	1 0 1 1 0 0 0 1 0	11644	2.329
1	-0.83498	1	1 0 1 0 0 0 0 1 0	3036	2.844
1	-0.29346	1	1 1 1 1 0 1 0 1 0	149100	1.659
0	0	0	1 1 1 1 0 1 0 1 0	19256	2.817
0	0	0	1 1 0 1 0 0 0 1 0	2848	2.839
1	-0.39666	0	1 1 1 1 0 1 0 1 0	83174	2.519
1	-0.31304	1	1 1 1 1 0 0 0 1 0	63030	2.323
1	0.67736	0	1 1 1 1 1 0 0 1 0	105090	2.062
1	-1.0455	0	1 1 1 1 0 0 0 1 1	147060	1.258
1	0.58893	0	1 1 1 1 0 0 0 1 0	53872	4.324
1	-0.35189	0	1 1 1 1 0 0 0 1 0	21672	3.096
0	0	0	1 1 1 1 1 0 0 0 0	1209	0.789
0	0	0	1 1 1 1 0 0 1 1 1	8280	0.571
1	-0.91983	0	1 0 1 1 0 1 0 1 0	129500	1.934
1	0.64353	0	1 1 1 1 0 0 0 0 1	24030	1.321
1	-0.17358	0	1 1 1 1 1 0 0 1 0	49755	2.078
0	0	0	1 1 1 1 0 0 0 1 1	33124	1.161
1	-0.39899	0	1 1 1 1 0 1 0 1 0	99540	1.775
1	-0.53319	0	1 1 0 1 1 1 0 1 0	110831	2.234
1	0.07424	0	1 1 1 1 0 1 0 1 0	78546	3.120
1	0.92368	0	1 1 1 1 1 0 0 1 0	45200	3.563
1	0.88455	0	1 1 1 1 1 1 0 1 0	11325	2.027
1	0.53518	0	1 1 1 1 0 0 0 1 0	71222	3.223
1	-1.0961	0	1 1 0 0 0 1 0 1 1	151916	0.699
1	0.163	0	1 1 1 1 1 1 0 1 0	163514	1.494
0	0	0	0 1 0 1 0 0 0 1 0	15290	1.266
0	0	0	1 1 1 1 1 0 0 0 0	480	1.211
0	0	0	1 1 1 1 1 0 0 0 0	360	1.118
0	0	0	1 1 1 1 1 0 0 0 0	441	1.000
0	0	0	1 1 1 1 1 0 0 0 0	360	1.118
0	0	0	1 1 1 1 1 0 0 0 0	340	1.188
0	0	0	1 1 1 1 1 0 0 0 0	374	1.313
0	0	0	1 1 1 1 1 0 0 0 0	360	1.118
0	0	0	1 1 1 1 1 0 0 0 0	342	1.059
0	0	0	1 1 1 1 1 0 0 0 0	340	1.188
0	0	0	1 1 1 1 0 0 0 1 0	2144	2.129
0	0	0	1 1 1 1 0 0 0 1 0	2272	2.258
0	0	0	1 1 1 1 0 0 0 1 0	2144	2.129
1	0.26489	0	1 1 1 1 0 0 0 1 0	1950	2.207
1	0.094825	0	1 1 1 1 0 0 0 1 0	2414	2.121
1	-0.061429	0	1 1 1 1 0 0 0 1 0	2046	2.167
1	-0.18035	0	1 1 1 1 0 0 0 1 0	2178	2.031
0	0	0	1 1 1 1 0 0 0 1 0	1792	2.333
1	-0.088369	0	1 1 1 1 0 0 0 1 0	1728	2.423
0	0	0	1 1 1 1 1 1 0 1 0	23564	3.212
1	0.13347	0	1 1 1 1 0 0 0 1 0	27700	2.788
1	0.0086495	0	1 0 1 1 0 0 1 1 0	71818	3.250
1	0.64705	0	1 1 1 1 0 0 0 1 1	48872	2.209
1	-0.37439	0	1 1 1 1 0 0 0 1 0	49617	4.055
