det	conf	occ	p1 p2 p3 p4 p5 v1 v2 v3 v4 v5 size	ratio(w/h)
1	-1.0408	0	1 1 1 1 0 0 1 0 0 0	29900	0.440
1	-0.47959	0	1 1 1 1 1 0 0 0 1 0	35098	0.737
0	0	0	1 1 1 1 1 0 0 0 1 0	36182	0.689
0	0	0	1 1 1 0 0 0 0 0 1 0	186127	1.339
0	0	0	1 1 1 1 1 0 0 0 1 0	4788	3.378
1	-0.48424	2	1 1 1 1 0 0 0 0 1 0	39664	2.218
1	-0.30399	0	1 1 1 1 1 1 0 0 0 0	117096	1.423
1	-0.165	0	1 1 1 0 0 0 0 0 1 0	117236	0.851
1	-0.073169	0	1 1 1 0 0 0 1 0 1 0	179141	0.719
1	-0.42793	0	1 1 1 1 1 0 0 0 1 0	162690	0.669
1	-0.44256	0	1 1 1 0 0 0 0 0 1 0	138528	1.424
1	-0.065414	1	1 1 1 1 0 0 0 0 1 0	88814	1.519
1	-0.59783	0	1 1 1 1 0 0 1 0 0 0	20787	0.726
0	0	0	1 1 1 1 0 0 0 0 1 0	160815	1.277
1	-0.25972	0	1 1 1 1 0 0 1 0 1 0	98010	0.900
0	0	0	1 1 1 1 1 0 0 0 1 0	3243	1.478
1	-0.5346	0	0 1 1 0 0 0 0 0 1 0	154049	0.903
1	-0.35827	0	0 1 1 0 0 0 1 0 0 0	77259	0.965
0	0	2	0 1 1 1 0 0 1 0 0 0	138047	1.678
1	-0.73658	1	1 1 1 1 0 0 1 0 1 0	118263	2.110
1	-0.51607	0	1 1 1 1 0 0 1 0 1 0	118908	1.133
0	0	0	0 0 1 0 0 0 1 0 0 0	676	1.000
1	0.096262	0	1 1 1 0 0 0 1 0 0 0	98484	0.813
1	-0.19921	0	1 1 1 1 0 0 1 0 0 0	104598	0.522
1	-0.40207	0	1 1 1 1 0 0 0 0 1 0	43896	1.270
1	-0.46686	0	1 1 1 1 1 0 0 0 1 0	36000	1.409
1	-0.94895	0	1 1 1 1 1 0 0 0 1 0	7452	0.636
0	0	0	1 1 1 1 1 0 0 0 1 1	68005	1.653
1	-0.51464	0	1 1 1 1 1 0 0 0 1 1	85176	1.558
1	-0.8669	1	1 1 1 1 0 0 0 0 1 0	56200	1.407
1	0.016401	0	1 1 0 1 1 0 0 1 1 0	41827	0.543
0	0	2	1 1 1 1 1 1 0 0 0 0	106650	1.903
1	-0.17239	0	1 1 1 1 0 0 1 0 1 0	145483	0.896
1	-0.31285	1	1 1 0 1 1 0 0 1 1 0	42828	1.450
0	0	1	1 1 0 1 1 0 1 0 1 0	37184	0.740
0	0	0	1 1 0 1 1 0 1 0 1 0	49680	1.470
1	-0.88372	1	1 1 1 1 0 1 0 0 0 0	21122	1.521
1	-0.80203	2	1 1 1 1 0 0 0 0 1 0	10384	1.345
1	-0.27888	0	1 1 1 1 0 0 1 0 1 1	136030	1.464
1	-0.74367	0	1 1 0 1 1 0 0 0 1 0	19186	1.714
1	-0.17661	0	1 1 1 1 1 1 1 0 1 0	134672	1.459
1	-0.35272	0	1 1 1 1 1 1 0 0 1 0	174240	1.345
1	-0.17586	0	1 1 1 1 1 0 1 0 1 1	97353	1.431
1	-0.4173	0	1 1 1 1 0 0 1 0 1 0	191836	1.212
1	-0.57074	0	1 0 1 1 0 1 1 0 0 0	151696	1.644
1	-0.43816	0	1 1 0 1 0 0 0 0 1 0	28567	4.868
1	0.045789	0	1 1 1 1 0 1 1 0 1 0	160728	1.227
1	0.32766	0	1 1 1 1 0 0 1 0 1 0	112350	1.091
1	-0.70478	0	1 1 1 0 0 0 1 0 0 0	77922	1.425
1	-0.56559	1	1 1 1 1 1 0 0 0 1 0	34310	0.620
1	-0.49593	0	1 1 0 1 0 1 0 0 1 0	68440	0.786
1	-0.82601	0	1 1 1 1 1 1 0 0 1 0	74520	1.022
1	-0.1848	2	1 0 0 1 1 1 0 0 0 0	156088	1.218
1	-0.46262	0	1 1 0 1 0 0 0 0 1 0	181137	1.376
0	0	0	1 1 1 0 0 1 0 0 1 0	165834	1.497
1	-0.61669	0	1 1 0 0 0 0 1 0 0 1	63504	1.656
1	-0.059233	0	1 1 1 1 1 0 0 0 1 0	114218	1.279
1	0.14988	2	1 1 1 1 0 0 0 0 1 0	81432	1.515
0	0	0	1 1 1 1 0 0 0 0 1 0	46879	0.698
0	0	0	1 1 1 1 1 0 0 0 1 0	62700	0.574
1	0.1027	0	1 1 1 0 0 0 0 0 1 0	36750	1.705
1	-0.17122	0	1 1 1 1 0 0 0 0 1 0	162400	1.015
1	-0.29812	0	1 1 1 1 0 0 1 0 1 0	110197	1.595
1	-0.42477	0	1 1 0 1 0 0 0 0 1 0	128865	0.978
0	0	3	0 1 1 1 0 0 1 0 0 0	49248	0.592
0	0	0	1 1 1 0 0 0 0 0 1 0	99430	0.935
0	0	2	1 1 1 1 0 1 1 0 1 0	94976	1.897
0	0	3	1 1 1 0 0 0 1 0 1 0	79032	1.606
0	0	0	1 1 1 1 1 0 0 0 1 0	68666	0.888
1	0.28248	0	1 1 1 0 0 0 1 0 0 0	81340	0.737
1	-0.70858	1	0 1 1 0 0 0 1 0 0 0	47637	1.180
0	0	2	1 1 1 1 1 0 1 0 0 0	122250	0.869
0	0	0	1 1 1 1 0 0 1 0 0 0	3588	0.584
1	-0.49005	0	1 1 1 1 1 0 1 0 1 0	107051	0.769
1	-0.57367	0	0 1 1 0 0 0 1 0 1 0	130125	0.925
1	0.074867	0	1 1 0 0 1 0 0 0 1 0	67260	2.153
0	0	2	1 1 1 0 0 0 1 0 0 0	36115	0.664
0	0	0	0 0 1 0 0 0 0 0 1 0	165000	0.659
1	-0.44274	0	1 1 1 1 1 0 1 0 0 1	93720	0.860
1	-0.34432	0	1 1 1 1 0 0 1 0 0 0	108000	0.767
1	-1.0842	0	1 1 1 0 0 0 0 0 1 0	23520	1.089
1	-0.60322	0	1 1 0 1 0 0 0 1 1 0	66640	0.900
0	0	0	1 1 1 1 1 0 1 0 1 0	35657	1.089
1	-0.12726	0	1 1 1 1 0 0 1 0 1 0	159060	1.462
1	-0.20468	0	1 1 1 1 1 0 0 1 1 0	64672	0.545
1	-0.17442	0	1 1 1 0 0 0 1 0 0 0	103751	1.243
1	-0.15846	0	1 1 1 1 0 0 0 0 1 0	57071	0.824
1	-0.49083	1	1 1 1 1 0 0 1 0 1 0	73000	0.856
1	-0.16428	0	1 1 1 0 0 0 0 0 1 0	53714	0.852
1	-0.52104	1	1 0 1 1 0 0 1 0 1 0	71400	1.262
0	0	1	1 1 0 1 1 0 0 0 1 0	80619	1.513
0	0	1	1 1 1 0 0 0 1 0 1 0	21924	1.635
1	-0.22071	0	1 1 1 1 0 0 1 0 0 0	39345	1.176
0	0	1	1 1 1 1 0 0 1 0 0 0	8448	0.512
0	0	0	1 1 0 0 0 0 0 0 1 0	6076	0.629
1	-0.12852	2	0 1 1 0 0 0 1 0 0 0	16740	1.089
1	-0.87911	0	1 1 0 0 1 0 0 0 1 0	6640	0.963
0	0	1	1 1 0 0 1 0 0 1 0 0	85666	0.480
1	-0.32914	0	1 1 1 0 0 1 0 0 1 0	173814	1.388
1	-0.45046	0	1 1 1 1 1 0 1 0 1 1	79860	0.733
1	-0.62239	0	1 1 1 1 0 0 1 0 0 0	110556	0.997
1	-0.24387	0	0 1 1 1 0 1 0 0 0 0	102114	1.313
0	0	0	1 1 1 0 0 0 0 1 1 0	23115	0.570
0	0	0	1 1 1 1 1 0 0 1 1 0	30222	0.704
1	-0.74674	1	1 1 1 1 0 0 0 0 1 0	104329	1.000
1	-0.35923	0	1 1 1 1 0 1 1 0 1 0	101885	1.238
0	0	0	1 1 0 0 1 0 1 0 0 1	12922	0.638
1	0.68588	0	1 1 1 0 1 0 0 0 1 0	45725	1.909
1	-0.25984	0	1 1 1 1 1 0 1 0 1 0	34860	1.267
1	-0.70684	0	1 1 1 1 0 1 0 0 1 0	161355	1.341
1	-0.54667	0	1 0 1 1 1 1 0 0 1 0	62040	1.124
0	0	0	1 1 1 0 0 0 0 0 1 1	184512	1.334
0	0	0	1 1 1 0 1 0 0 0 1 0	17442	1.345
1	-0.36084	0	1 1 1 0 1 0 0 0 1 0	46417	2.636
1	-0.27872	0	1 1 1 1 1 0 0 0 1 0	130566	1.644
1	-1.1597	0	1 1 1 0 1 0 0 0 1 1	25544	1.667
1	-0.96925	0	1 1 1 1 1 0 0 0 0 1	20060	1.444
1	-0.63776	0	1 1 0 0 1 0 0 1 0 0	26752	0.611
1	-0.17151	0	1 1 1 1 0 0 0 0 1 1	145696	1.479
1	0.060835	0	1 1 1 1 0 0 1 0 1 0	160356	1.456
1	-0.40317	1	0 1 1 0 0 0 1 0 0 0	33345	0.876
0	0	0	1 1 0 1 1 0 0 0 1 0	3180	0.881
0	0	0	1 1 0 1 1 0 0 0 1 0	4335	1.680
0	0	1	1 1 0 0 1 0 1 0 1 1	3763	1.346
1	-0.39155	0	1 1 0 0 1 0 0 1 0 0	82368	0.993
1	-1.0848	0	1 1 1 0 1 0 0 0 1 0	16896	1.842
1	-0.10055	0	1 1 0 1 1 0 0 0 1 1	163315	1.213
1	-0.12663	1	1 1 1 0 0 0 0 0 1 0	130560	0.784
1	0.02241	1	1 1 1 1 1 0 0 0 1 0	98610	1.215
0	0	0	1 1 1 1 0 0 1 0 1 0	16564	1.630
1	-0.60389	0	1 1 1 1 0 0 1 0 1 0	16303	0.868
0	0	0	1 1 1 1 1 0 1 0 1 0	25850	0.466
1	0.43858	0	1 1 1 0 0 0 1 0 1 0	172608	1.248
1	-0.64983	0	1 1 0 1 0 0 1 0 0 0	113834	1.052
0	0	0	1 1 1 1 0 0 1 0 0 0	2365	0.778
0	0	0	1 1 1 1 0 0 0 0 1 0	3551	0.788
1	-0.64166	1	1 1 1 1 1 0 1 0 1 1	24453	1.197
1	-0.23786	0	1 1 0 0 1 0 0 0 0 1	41420	1.148
0	0	2	0 1 1 0 0 0 1 0 0 0	8190	0.740
0	0	0	1 1 1 1 0 0 0 0 1 0	14276	1.941
0	0	0	1 1 1 1 0 0 0 0 1 0	9730	2.000
1	-0.9601	0	1 1 1 0 1 0 0 0 1 0	8120	2.439
1	-1.0059	1	1 1 1 0 0 0 1 0 1 0	60320	1.396
1	-0.69119	0	1 1 0 0 0 0 0 0 1 1	66992	1.493
1	-0.2943	0	1 1 1 1 0 1 1 0 1 0	145730	1.677
1	-0.68844	0	1 1 1 0 0 0 0 1 1 0	33350	1.590
1	-0.46774	1	1 1 1 0 0 0 1 0 1 0	14445	1.264
1	-0.026421	0	1 1 1 0 1 0 0 0 1 0	93996	1.482
0	0	2	0 0 1 0 0 0 1 0 0 0	43052	0.820
1	-0.13217	1	1 1 0 0 1 0 0 0 1 0	65872	1.951
0	0	0	1 1 1 0 1 0 0 1 1 1	19596	0.972
0	0	0	1 1 1 0 0 0 0 0 1 0	143819	1.611
0	0	0	1 1 1 1 1 0 0 0 1 0	117294	1.021
1	-0.7633	0	1 1 1 0 0 0 0 0 1 0	76800	1.173
1	-0.45252	0	1 1 0 1 0 1 0 0 1 0	109572	1.440
0	0	1	1 1 1 0 0 1 1 0 1 0	100989	1.930
1	0.032278	0	1 1 1 1 0 0 0 0 1 0	119556	1.139
1	0.3867	0	1 1 1 1 1 0 1 0 1 0	55750	1.122
1	-0.20596	0	0 0 1 0 0 0 0 0 0 1	136155	1.391
1	0.53473	0	0 1 1 0 0 0 0 0 1 0	242039	1.021
1	-0.93993	0	1 1 1 1 0 0 1 0 0 0	142890	0.762
1	-0.56065	0	1 1 1 1 0 0 0 0 1 0	44631	0.654
1	-0.56839	0	1 1 0 0 0 0 0 1 0 0	69094	0.462
0	0	0	1 0 0 1 1 0 0 0 1 0	2295	1.136
0	0	0	1 1 1 0 0 0 0 0 1 0	27720	1.170
1	0.49553	0	1 1 1 0 1 0 1 0 0 0	30447	1.303
1	-0.051211	0	1 1 1 1 0 1 1 0 1 0	20163	0.986
1	-0.67128	0	1 1 1 1 1 1 1 0 1 0	22570	0.658
1	-1.1464	0	1 1 0 0 1 1 0 0 0 0	14883	0.984
1	0.029909	0	1 1 1 1 0 0 1 0 1 0	162690	0.859
0	0	0	1 1 1 1 0 0 1 0 0 0	126730	0.663
1	-0.40284	1	1 1 1 1 0 0 0 0 1 1	111630	0.833
1	-0.037492	0	1 1 1 1 0 0 0 0 1 0	57514	1.547
1	-0.018368	0	1 1 1 1 1 0 0 0 1 0	92344	0.612
1	-0.2439	0	1 1 1 0 0 0 1 0 1 0	126090	0.577
0	0	1	1 1 1 1 1 0 0 0 1 0	78048	1.063
1	-0.43413	1	1 1 0 0 0 0 0 0 1 0	80270	1.520
1	-0.66345	1	1 1 1 0 0 0 0 0 1 1	43434	1.488
1	-0.081501	0	1 1 1 1 0 0 0 0 1 0	120528	1.964
0	0	2	1 1 1 0 0 0 0 0 1 0	32186	2.208
1	-0.15427	0	1 1 1 0 0 0 0 0 1 0	152592	1.091
0	0	0	1 1 1 1 1 0 0 0 1 0	58050	3.201
1	0.59061	0	1 1 1 1 0 0 0 0 1 0	102621	1.831
0	0	0	1 1 0 1 1 1 0 0 1 0	3534	2.486
1	-0.12681	0	1 1 1 1 0 0 1 0 1 0	66690	2.288
1	-0.51167	0	1 1 1 1 1 0 0 0 1 0	71230	2.473
0	0	0	1 1 1 1 1 0 0 0 1 0	49950	1.462
1	-0.23501	0	1 1 1 0 0 0 1 0 0 0	149974	1.072
1	-0.77598	0	1 1 1 0 0 0 0 0 1 0	87532	1.141
1	-0.82013	0	1 1 1 1 1 0 1 0 1 0	92220	1.097
0	0	1	1 1 1 1 0 0 0 0 1 0	54528	0.831
1	-0.11804	0	1 1 1 1 1 0 0 0 1 0	60152	1.420
1	-0.10495	0	1 1 1 0 0 0 1 0 0 0	165440	0.748
0	0	2	1 1 1 0 1 0 1 0 1 0	9072	1.761
1	-0.021231	0	1 1 1 0 0 0 1 0 1 0	127253	1.082
1	0.087628	0	1 1 1 1 0 1 0 0 1 0	86025	2.522
0	0	0	1 1 1 1 0 0 0 0 1 0	148875	0.944
1	-0.6278	1	1 1 1 1 0 1 0 0 1 0	101386	0.954
0	0	1	1 1 1 1 0 0 1 0 0 0	53095	0.643
1	-0.34527	0	1 1 0 1 0 1 1 0 1 0	101232	1.096
1	-0.22662	1	1 1 1 1 0 0 1 0 1 0	98814	1.486
1	-0.16541	0	1 1 1 0 0 0 0 0 1 0	140346	1.222
1	-0.074282	0	1 1 1 1 1 0 0 0 1 0	137700	1.192
1	-0.015654	1	1 1 1 0 0 0 1 0 0 0	31155	0.770
1	0.21095	0	0 1 1 0 0 0 0 0 1 0	131733	1.034
1	-0.90306	0	1 1 0 1 1 0 0 1 1 1	13254	0.664
0	0	0	1 1 0 1 1 1 0 0 1 0	177230	1.295
0	0	1	1 1 1 0 1 0 1 0 1 0	5520	0.861
1	-0.25701	1	1 1 1 0 0 0 1 0 1 0	49368	1.414
1	0.30033	0	1 1 1 1 1 1 0 0 1 0	82211	1.570
0	0	2	1 1 1 0 0 0 0 0 1 0	32725	2.322
1	0.11708	1	0 1 1 0 0 0 1 0 0 0	106420	1.087
0	0	0	0 0 1 0 0 0 1 0 0 0	78186	0.314
1	-0.14189	0	1 0 1 1 0 0 1 0 0 0	117810	0.842
1	-0.037545	0	1 1 1 1 0 1 0 0 1 0	123500	2.028
1	-0.29491	0	1 1 1 1 1 0 0 0 1 0	121408	1.656
1	-0.70789	0	1 1 0 1 0 0 1 0 0 0	26386	0.946
1	-0.53608	0	0 1 1 0 0 0 0 0 1 0	136290	1.252
0	0	0	1 1 0 0 0 0 0 0 1 0	71063	2.225
0	0	0	1 1 0 1 1 0 0 0 1 0	53333	3.030
1	-0.29572	0	1 1 1 1 1 0 0 0 1 0	48204	0.880
1	-0.6622	0	1 1 1 0 0 0 0 0 1 0	88683	1.077
1	-0.51987	1	1 1 0 1 0 0 1 0 1 0	72072	0.881
1	-0.13056	0	1 1 1 0 1 0 0 0 1 0	113764	2.013
1	0.072077	0	1 1 1 1 1 0 0 0 1 0	86430	1.874
0	0	0	1 1 1 1 1 0 0 0 1 1	37947	1.971
0	0	1	1 1 1 1 0 0 0 0 1 0	36680	1.878
1	0.45014	2	1 1 1 1 0 0 1 0 1 1	58065	1.034
1	-0.74934	0	1 1 1 1 1 0 1 0 1 1	23056	0.743
1	-0.75364	0	1 1 0 1 1 0 0 0 1 0	9638	1.551
1	-0.63704	0	1 1 1 1 0 1 1 0 1 0	89790	1.876
0	0	0	1 1 0 0 1 0 0 1 1 0	51136	0.690
0	0	0	1 1 1 0 0 0 0 1 1 0	44935	1.029
1	-0.73035	0	1 1 0 1 1 0 0 1 1 0	35154	0.745
1	-0.85132	2	1 1 1 0 0 0 1 0 1 0	9758	1.457
1	-0.11403	2	0 0 1 1 0 0 0 0 1 0	77805	1.044
1	-1.2566	2	1 1 0 0 0 0 0 0 1 0	5952	0.685
1	-0.27823	0	1 1 1 1 0 0 0 0 1 0	123186	1.427
1	-0.11429	1	1 1 1 1 0 0 0 0 1 0	115884	1.045
1	-0.84003	0	1 1 0 0 1 0 0 1 1 0	20882	0.536
1	0.31814	1	1 1 1 0 0 0 0 0 1 0	141789	1.449
0	0	0	1 1 1 0 0 0 1 0 1 0	157185	0.631
1	-0.35152	2	1 1 1 1 0 0 1 0 1 0	81200	1.036
1	-0.3356	0	1 1 1 0 0 0 1 0 1 0	140859	1.271
1	-0.19128	0	1 1 1 1 0 0 0 0 1 0	57498	1.167
1	-0.051636	0	0 1 1 0 0 0 1 0 1 0	93467	1.089
1	-0.56923	0	1 1 1 1 1 1 1 0 1 0	24472	1.386
1	-0.15666	0	1 1 1 1 1 0 0 0 1 0	40672	1.515
1	-0.12819	0	1 1 0 1 1 0 0 0 1 0	84099	0.993
1	-0.36839	0	1 1 0 0 1 0 0 1 1 1	40425	0.672
0	0	0	1 1 1 0 0 0 0 0 1 0	4080	1.787
1	0.075633	0	1 1 1 0 0 0 1 0 0 0	151364	1.517
1	-0.12601	0	1 1 1 0 0 0 1 0 0 0	115432	1.225
1	-0.70469	0	1 1 1 1 1 0 1 0 1 1	157994	0.983
1	-0.77278	0	1 1 0 1 0 0 1 0 1 0	72539	0.868
1	-0.19382	0	1 1 1 1 0 0 1 0 1 0	42210	1.045
0	0	2	1 1 1 0 0 0 0 0 1 0	13080	0.908
1	-0.65183	1	1 1 1 1 0 0 0 0 1 0	139682	1.276
0	0	0	1 1 1 1 0 1 1 0 1 0	92748	1.352
0	0	0	1 1 1 0 0 0 0 0 1 0	165390	1.209
1	-1.0184	1	1 1 0 1 1 0 0 0 1 0	26741	1.833
0	0	0	1 1 1 0 0 0 0 0 1 0	83475	1.189
1	-0.93344	2	1 1 1 0 0 0 1 0 1 1	94900	1.405
0	0	2	0 1 1 0 0 0 0 0 1 0	9492	0.741
1	-0.051992	0	1 1 0 1 1 0 0 0 1 0	29463	0.879
1	-0.24713	0	1 1 0 1 1 0 1 0 1 0	41535	0.915
1	-0.74773	0	1 1 0 1 0 0 1 0 0 0	16875	1.081
1	-0.75904	0	1 1 1 1 0 0 0 0 1 0	14630	2.487
1	-0.47806	0	1 1 0 1 0 0 0 0 1 0	155500	0.621
1	-0.60546	2	1 1 1 0 0 0 0 0 1 0	150080	0.682
0	0	0	1 1 1 1 1 1 1 0 0 0	18048	0.907
1	-0.48841	0	1 1 0 0 1 0 0 1 1 0	117236	1.175
1	-0.40429	0	1 1 1 1 1 0 0 0 1 0	73160	1.315
1	-0.81665	2	1 1 1 1 0 0 1 0 1 0	106491	0.500
1	-0.1447	0	1 1 1 1 0 0 0 0 1 0	116522	1.416
0	0	0	1 1 1 1 0 0 0 0 1 1	75969	1.777
1	-0.91271	0	1 1 0 1 0 0 0 0 1 1	10050	0.443
1	-0.21375	1	0 1 1 0 0 0 1 0 0 0	26299	1.864
1	-1.0016	2	1 1 1 1 0 0 1 0 1 0	94962	1.099
1	-0.39293	0	1 1 1 0 0 0 1 0 1 0	165336	1.502
0	0	0	1 1 1 1 0 0 1 0 1 0	11135	0.646
1	0.095239	1	1 1 0 0 0 0 0 1 1 1	77028	1.123
1	-0.22734	0	1 1 1 1 0 0 0 0 1 0	127534	0.912
0	0	0	1 1 1 1 0 0 1 0 0 0	13416	1.824
1	-1.0479	0	1 1 1 1 0 0 1 0 1 0	65664	0.791
0	0	0	1 1 1 1 0 0 1 0 1 0	25669	1.455
1	-0.42502	0	1 1 1 1 0 0 0 0 1 0	47874	0.852
1	-0.55103	0	0 0 1 0 0 0 1 0 0 0	173500	1.442
1	-0.87155	0	1 1 1 1 1 0 0 0 1 0	31680	0.807
0	0	0	1 1 1 1 0 0 0 0 1 0	20736	0.789
1	0.40115	0	1 1 1 1 1 0 0 0 1 0	79520	1.014
