det	conf	occ	p1 p2 p3 p4 p5 v1 v2 v3 v4 v5 size	ratio(w/h)
1	-0.35613	2	1 1 1 0 0 0 1 0 0 0	101083	1.378
1	-0.63457	0	1 1 1 1 0 1 0 0 1 0	116186	1.283
0	0	0	1 1 1 1 1 0 0 0 1 0	3168	2.486
0	0	0	1 1 1 0 1 0 0 0 1 0	49440	1.166
1	0.393	0	1 1 1 1 0 0 1 0 0 0	56540	0.855
0	0	0	1 1 0 1 1 0 0 0 0 1	97887	2.430
1	-0.67208	0	1 1 1 1 0 0 1 0 0 0	113040	0.509
0	0	0	1 1 1 1 0 1 1 0 0 0	90522	0.878
0	0	1	1 1 1 1 1 0 0 0 1 0	94392	0.550
1	-0.89897	0	1 1 1 0 0 0 0 0 1 0	102408	1.628
1	-0.33977	0	1 1 1 0 0 0 1 0 1 0	129090	1.179
0	0	0	1 1 1 1 0 0 1 0 0 0	44662	0.418
0	0	0	1 1 1 1 0 0 1 0 0 0	29900	0.440
0	0	0	1 1 1 1 1 0 0 0 1 0	35098	0.737
1	-0.76419	0	1 1 1 1 1 0 0 0 1 0	36182	0.689
1	-0.91189	0	1 1 1 0 0 0 0 0 1 0	186127	1.339
0	0	0	1 1 1 1 1 0 0 0 1 0	4788	3.378
1	-0.96968	2	1 1 1 1 0 0 0 0 1 0	39664	2.218
1	-0.78813	0	1 1 1 1 1 1 0 0 0 0	117096	1.423
1	-0.34639	0	1 1 1 0 0 0 0 0 1 0	117236	0.851
1	-0.70047	0	1 1 1 0 0 0 1 0 1 0	179141	0.719
1	-0.5388	0	1 1 1 1 1 0 0 0 1 0	162690	0.669
0	0	0	1 1 1 0 0 0 0 0 1 0	138528	1.424
0	0	1	1 1 1 1 0 0 0 0 1 0	88814	1.519
1	-0.69132	0	1 1 1 1 0 0 1 0 0 0	20787	0.726
1	-0.89947	0	1 1 1 1 0 0 0 0 1 0	160815	1.277
0	0	0	1 1 1 1 0 0 1 0 1 0	98010	0.900
0	0	0	1 1 1 1 1 0 0 0 1 0	3243	1.478
1	-0.82117	0	0 1 1 0 0 0 0 0 1 0	154049	0.903
1	-0.24013	0	0 1 1 0 0 0 1 0 0 0	77259	0.965
1	-0.84684	2	0 1 1 1 0 0 1 0 0 0	138047	1.678
0	0	1	1 1 1 1 0 0 1 0 1 0	118263	2.110
1	-0.93234	0	1 1 1 1 0 0 1 0 1 0	118908	1.133
0	0	0	0 0 1 0 0 0 1 0 0 0	676	1.000
1	0.25378	0	1 1 1 0 0 0 1 0 0 0	98484	0.813
1	-0.43662	0	1 1 1 1 0 0 1 0 0 0	104598	0.522
1	-0.52705	0	1 1 1 1 0 0 0 0 1 0	43896	1.270
1	-0.64007	0	1 1 1 1 1 0 0 0 1 0	36000	1.409
0	0	0	1 1 1 1 1 0 0 0 1 0	7452	0.636
0	0	0	1 1 1 1 1 0 0 0 1 1	68005	1.653
1	-0.82494	0	1 1 1 1 1 0 0 0 1 1	85176	1.558
0	0	1	1 1 1 1 0 0 0 0 1 0	56200	1.407
0	0	0	1 1 0 1 1 0 0 1 1 0	41827	0.543
1	-0.9121	2	1 1 1 1 1 1 0 0 0 0	106650	1.903
1	-0.64969	0	1 1 1 1 0 0 1 0 1 0	145483	0.896
0	0	1	1 1 0 1 1 0 0 1 1 0	42828	1.450
0	0	1	1 1 0 1 1 0 1 0 1 0	37184	0.740
0	0	0	1 1 0 1 1 0 1 0 1 0	49680	1.470
1	-0.71781	1	1 1 1 1 0 1 0 0 0 0	21122	1.521
0	0	2	1 1 1 1 0 0 0 0 1 0	10384	1.345
1	-0.91136	0	1 1 1 1 0 0 1 0 1 1	136030	1.464
0	0	0	1 1 0 1 1 0 0 0 1 0	19186	1.714
1	-0.80656	0	1 1 1 1 1 1 1 0 1 0	134672	1.459
1	-0.67973	0	1 1 1 1 1 1 0 0 1 0	174240	1.345
1	-0.48281	0	1 1 1 1 1 0 1 0 1 1	97353	1.431
1	-0.93456	0	1 1 1 1 0 0 1 0 1 0	191836	1.212
1	-0.79585	0	1 0 1 1 0 1 1 0 0 0	151696	1.644
0	0	0	1 1 0 1 0 0 0 0 1 0	28567	4.868
1	-0.72392	0	1 1 1 1 0 1 1 0 1 0	160728	1.227
1	-0.8764	0	1 1 1 1 0 0 1 0 1 0	112350	1.091
1	-0.45822	0	1 1 1 0 0 0 1 0 0 0	77922	1.425
0	0	1	1 1 1 1 1 0 0 0 1 0	34310	0.620
0	0	0	1 1 0 1 0 1 0 0 1 0	68440	0.786
0	0	0	1 1 1 1 1 1 0 0 1 0	74520	1.022
1	-0.89115	2	1 0 0 1 1 1 0 0 0 0	156088	1.218
1	-0.65624	0	1 1 0 1 0 0 0 0 1 0	181137	1.376
1	-0.8538	0	1 1 1 0 0 1 0 0 1 0	165834	1.497
1	-0.91154	0	1 1 0 0 0 0 1 0 0 1	63504	1.656
1	-0.83459	0	1 1 1 1 1 0 0 0 1 0	114218	1.279
1	-0.80162	2	1 1 1 1 0 0 0 0 1 0	81432	1.515
1	-0.85763	0	1 1 1 1 0 0 0 0 1 0	46879	0.698
1	-0.85985	0	1 1 1 1 1 0 0 0 1 0	62700	0.574
1	-0.78773	0	1 1 1 0 0 0 0 0 1 0	36750	1.705
1	-0.84031	0	1 1 1 1 0 0 0 0 1 0	162400	1.015
0	0	0	1 1 1 1 0 0 1 0 1 0	110197	1.595
1	-0.61663	0	1 1 0 1 0 0 0 0 1 0	128865	0.978
0	0	3	0 1 1 1 0 0 1 0 0 0	49248	0.592
1	0.011724	0	1 1 1 0 0 0 0 0 1 0	99430	0.935
0	0	2	1 1 1 1 0 1 1 0 1 0	94976	1.897
0	0	3	1 1 1 0 0 0 1 0 1 0	79032	1.606
1	-0.77734	0	1 1 1 1 1 0 0 0 1 0	68666	0.888
1	0.7074	0	1 1 1 0 0 0 1 0 0 0	81340	0.737
1	-0.47298	1	0 1 1 0 0 0 1 0 0 0	47637	1.180
0	0	2	1 1 1 1 1 0 1 0 0 0	122250	0.869
0	0	0	1 1 1 1 0 0 1 0 0 0	3588	0.584
1	-0.7733	0	1 1 1 1 1 0 1 0 1 0	107051	0.769
1	-0.22075	0	0 1 1 0 0 0 1 0 1 0	130125	0.925
0	0	0	1 1 0 0 1 0 0 0 1 0	67260	2.153
1	0.13319	2	1 1 1 0 0 0 1 0 0 0	36115	0.664
1	-0.30352	0	0 0 1 0 0 0 0 0 1 0	165000	0.659
1	-0.79452	0	1 1 1 1 1 0 1 0 0 1	93720	0.860
1	-0.61657	0	1 1 1 1 0 0 1 0 0 0	108000	0.767
1	-0.36227	0	1 1 1 0 0 0 0 0 1 0	23520	1.089
1	-0.67167	0	1 1 0 1 0 0 0 1 1 0	66640	0.900
0	0	0	1 1 1 1 1 0 1 0 1 0	35657	1.089
1	-0.60551	0	1 1 1 1 0 0 1 0 1 0	159060	1.462
0	0	0	1 1 1 1 1 0 0 1 1 0	64672	0.545
1	-0.9558	0	1 1 1 0 0 0 1 0 0 0	103751	1.243
1	-0.6121	0	1 1 1 1 0 0 0 0 1 0	57071	0.824
1	-0.64186	1	1 1 1 1 0 0 1 0 1 0	73000	0.856
1	-0.52652	0	1 1 1 0 0 0 0 0 1 0	53714	0.852
1	-0.57793	1	1 0 1 1 0 0 1 0 1 0	71400	1.262
1	-0.6541	1	1 1 0 1 1 0 0 0 1 0	80619	1.513
0	0	1	1 1 1 0 0 0 1 0 1 0	21924	1.635
1	0.43722	0	1 1 1 1 0 0 1 0 0 0	39345	1.176
0	0	1	1 1 1 1 0 0 1 0 0 0	8448	0.512
0	0	0	1 1 0 0 0 0 0 0 1 0	6076	0.629
1	-0.1912	2	0 1 1 0 0 0 1 0 0 0	16740	1.089
1	-0.95165	0	1 1 0 0 1 0 0 0 1 0	6640	0.963
0	0	1	1 1 0 0 1 0 0 1 0 0	85666	0.480
1	-0.72471	0	1 1 1 0 0 1 0 0 1 0	173814	1.388
1	-0.71074	0	1 1 1 1 1 0 1 0 1 1	79860	0.733
1	-0.58546	0	1 1 1 1 0 0 1 0 0 0	110556	0.997
1	-0.90156	0	0 1 1 1 0 1 0 0 0 0	102114	1.313
0	0	0	1 1 1 0 0 0 0 1 1 0	23115	0.570
0	0	0	1 1 1 1 1 0 0 1 1 0	30222	0.704
0	0	1	1 1 1 1 0 0 0 0 1 0	104329	1.000
0	0	0	1 1 1 1 0 1 1 0 1 0	101885	1.238
0	0	0	1 1 0 0 1 0 1 0 0 1	12922	0.638
1	-0.80519	0	1 1 1 0 1 0 0 0 1 0	45725	1.909
1	-0.54389	0	1 1 1 1 1 0 1 0 1 0	34860	1.267
1	-0.8791	0	1 1 1 1 0 1 0 0 1 0	161355	1.341
0	0	0	1 0 1 1 1 1 0 0 1 0	62040	1.124
1	-0.45826	0	1 1 1 0 0 0 0 0 1 1	184512	1.334
0	0	0	1 1 1 0 1 0 0 0 1 0	17442	1.345
0	0	0	1 1 1 0 1 0 0 0 1 0	46417	2.636
1	-0.98421	0	1 1 1 1 1 0 0 0 1 0	130566	1.644
1	-0.96301	0	1 1 1 0 1 0 0 0 1 1	25544	1.667
1	-0.87131	0	1 1 1 1 1 0 0 0 0 1	20060	1.444
0	0	0	1 1 0 0 1 0 0 1 0 0	26752	0.611
1	-0.85014	0	1 1 1 1 0 0 0 0 1 1	145696	1.479
1	-0.70845	0	1 1 1 1 0 0 1 0 1 0	160356	1.456
0	0	1	0 1 1 0 0 0 1 0 0 0	33345	0.876
0	0	0	1 1 0 1 1 0 0 0 1 0	3180	0.881
0	0	0	1 1 0 1 1 0 0 0 1 0	4335	1.680
0	0	1	1 1 0 0 1 0 1 0 1 1	3763	1.346
0	0	0	1 1 0 0 1 0 0 1 0 0	82368	0.993
0	0	0	1 1 1 0 1 0 0 0 1 0	16896	1.842
1	-0.72001	0	1 1 0 1 1 0 0 0 1 1	163315	1.213
0	0	1	1 1 1 0 0 0 0 0 1 0	130560	0.784
0	0	1	1 1 1 1 1 0 0 0 1 0	98610	1.215
0	0	0	1 1 1 1 0 0 1 0 1 0	16564	1.630
1	-0.37297	0	1 1 1 1 0 0 1 0 1 0	16303	0.868
0	0	0	1 1 1 1 1 0 1 0 1 0	25850	0.466
1	-0.17393	0	1 1 1 0 0 0 1 0 1 0	172608	1.248
1	-0.75849	0	1 1 0 1 0 0 1 0 0 0	113834	1.052
0	0	0	1 1 1 1 0 0 1 0 0 0	2365	0.778
0	0	0	1 1 1 1 0 0 0 0 1 0	3551	0.788
0	0	1	1 1 1 1 1 0 1 0 1 1	24453	1.197
0	0	0	1 1 0 0 1 0 0 0 0 1	41420	1.148
0	0	2	0 1 1 0 0 0 1 0 0 0	8190	0.740
0	0	0	1 1 1 1 0 0 0 0 1 0	14276	1.941
0	0	0	1 1 1 1 0 0 0 0 1 0	9730	2.000
0	0	0	1 1 1 0 1 0 0 0 1 0	8120	2.439
0	0	1	1 1 1 0 0 0 1 0 1 0	60320	1.396
1	-0.88652	0	1 1 0 0 0 0 0 0 1 1	66992	1.493
1	-0.79903	0	1 1 1 1 0 1 1 0 1 0	145730	1.677
1	-0.92768	0	1 1 1 0 0 0 0 1 1 0	33350	1.590
1	-0.62109	1	1 1 1 0 0 0 1 0 1 0	14445	1.264
1	-0.50428	0	1 1 1 0 1 0 0 0 1 0	93996	1.482
0	0	2	0 0 1 0 0 0 1 0 0 0	43052	0.820
1	-0.80754	1	1 1 0 0 1 0 0 0 1 0	65872	1.951
0	0	0	1 1 1 0 1 0 0 1 1 1	19596	0.972
1	-0.31573	0	1 1 1 0 0 0 0 0 1 0	143819	1.611
1	-0.74061	0	1 1 1 1 1 0 0 0 1 0	117294	1.021
1	-0.76064	0	1 1 1 0 0 0 0 0 1 0	76800	1.173
1	-0.90659	0	1 1 0 1 0 1 0 0 1 0	109572	1.440
0	0	1	1 1 1 0 0 1 1 0 1 0	100989	1.930
0	0	0	1 1 1 1 0 0 0 0 1 0	119556	1.139
1	-0.12644	0	1 1 1 1 1 0 1 0 1 0	55750	1.122
1	-0.84687	0	0 0 1 0 0 0 0 0 0 1	136155	1.391
1	0.57483	0	0 1 1 0 0 0 0 0 1 0	242039	1.021
1	-0.71895	0	1 1 1 1 0 0 1 0 0 0	142890	0.762
0	0	0	1 1 1 1 0 0 0 0 1 0	44631	0.654
1	-0.93183	0	1 1 0 0 0 0 0 1 0 0	69094	0.462
0	0	0	1 0 0 1 1 0 0 0 1 0	2295	1.136
0	0	0	1 1 1 0 0 0 0 0 1 0	27720	1.170
1	-0.34423	0	1 1 1 0 1 0 1 0 0 0	30447	1.303
1	-0.71417	0	1 1 1 1 0 1 1 0 1 0	20163	0.986
0	0	0	1 1 1 1 1 1 1 0 1 0	22570	0.658
0	0	0	1 1 0 0 1 1 0 0 0 0	14883	0.984
1	-0.59947	0	1 1 1 1 0 0 1 0 1 0	162690	0.859
1	-0.58235	0	1 1 1 1 0 0 1 0 0 0	126730	0.663
1	-0.64628	1	1 1 1 1 0 0 0 0 1 1	111630	0.833
1	-0.63157	0	1 1 1 1 0 0 0 0 1 0	57514	1.547
1	-0.87004	0	1 1 1 1 1 0 0 0 1 0	92344	0.612
1	-0.78051	0	1 1 1 0 0 0 1 0 1 0	126090	0.577
0	0	1	1 1 1 1 1 0 0 0 1 0	78048	1.063
0	0	1	1 1 0 0 0 0 0 0 1 0	80270	1.520
0	0	1	1 1 1 0 0 0 0 0 1 1	43434	1.488
1	-0.93934	0	1 1 1 1 0 0 0 0 1 0	120528	1.964
0	0	2	1 1 1 0 0 0 0 0 1 0	32186	2.208
1	-0.54634	0	1 1 1 0 0 0 0 0 1 0	152592	1.091
0	0	0	1 1 1 1 1 0 0 0 1 0	58050	3.201
1	-0.51576	0	1 1 1 1 0 0 0 0 1 0	102621	1.831
0	0	0	1 1 0 1 1 1 0 0 1 0	3534	2.486
1	-0.88431	0	1 1 1 1 0 0 1 0 1 0	66690	2.288
0	0	0	1 1 1 1 1 0 0 0 1 0	71230	2.473
1	-0.83501	0	1 1 1 1 1 0 0 0 1 0	49950	1.462
1	0.24015	0	1 1 1 0 0 0 1 0 0 0	149974	1.072
1	-0.77018	0	1 1 1 0 0 0 0 0 1 0	87532	1.141
1	-0.89786	0	1 1 1 1 1 0 1 0 1 0	92220	1.097
1	-0.68172	1	1 1 1 1 0 0 0 0 1 0	54528	0.831
1	-0.68995	0	1 1 1 1 1 0 0 0 1 0	60152	1.420
1	-0.095885	0	1 1 1 0 0 0 1 0 0 0	165440	0.748
0	0	2	1 1 1 0 1 0 1 0 1 0	9072	1.761
1	0.019163	0	1 1 1 0 0 0 1 0 1 0	127253	1.082
0	0	0	1 1 1 1 0 1 0 0 1 0	86025	2.522
0	0	0	1 1 1 1 0 0 0 0 1 0	148875	0.944
1	-0.75919	1	1 1 1 1 0 1 0 0 1 0	101386	0.954
0	0	1	1 1 1 1 0 0 1 0 0 0	53095	0.643
0	0	0	1 1 0 1 0 1 1 0 1 0	101232	1.096
1	-0.76145	1	1 1 1 1 0 0 1 0 1 0	98814	1.486
1	-0.70636	0	1 1 1 0 0 0 0 0 1 0	140346	1.222
1	-0.7549	0	1 1 1 1 1 0 0 0 1 0	137700	1.192
1	-0.028587	1	1 1 1 0 0 0 1 0 0 0	31155	0.770
1	-0.75142	0	0 1 1 0 0 0 0 0 1 0	131733	1.034
0	0	0	1 1 0 1 1 0 0 1 1 1	13254	0.664
1	-0.56041	0	1 1 0 1 1 1 0 0 1 0	177230	1.295
0	0	1	1 1 1 0 1 0 1 0 1 0	5520	0.861
1	-0.48254	1	1 1 1 0 0 0 1 0 1 0	49368	1.414
1	-0.65953	0	1 1 1 1 1 1 0 0 1 0	82211	1.570
0	0	2	1 1 1 0 0 0 0 0 1 0	32725	2.322
1	-0.19728	1	0 1 1 0 0 0 1 0 0 0	106420	1.087
0	0	0	0 0 1 0 0 0 1 0 0 0	78186	0.314
1	-0.56548	0	1 0 1 1 0 0 1 0 0 0	117810	0.842
1	-0.97539	0	1 1 1 1 0 1 0 0 1 0	123500	2.028
1	-0.71824	0	1 1 1 1 1 0 0 0 1 0	121408	1.656
0	0	0	1 1 0 1 0 0 1 0 0 0	26386	0.946
1	-0.83073	0	0 1 1 0 0 0 0 0 1 0	136290	1.252
1	-0.94171	0	1 1 0 0 0 0 0 0 1 0	71063	2.225
0	0	0	1 1 0 1 1 0 0 0 1 0	53333	3.030
1	-0.69318	0	1 1 1 1 1 0 0 0 1 0	48204	0.880
1	-0.52642	0	1 1 1 0 0 0 0 0 1 0	88683	1.077
0	0	1	1 1 0 1 0 0 1 0 1 0	72072	0.881
1	-0.79167	0	1 1 1 0 1 0 0 0 1 0	113764	2.013
1	-0.82252	0	1 1 1 1 1 0 0 0 1 0	86430	1.874
1	-0.78965	0	1 1 1 1 1 0 0 0 1 1	37947	1.971
0	0	1	1 1 1 1 0 0 0 0 1 0	36680	1.878
1	0.51637	2	1 1 1 1 0 0 1 0 1 1	58065	1.034
0	0	0	1 1 1 1 1 0 1 0 1 1	23056	0.743
0	0	0	1 1 0 1 1 0 0 0 1 0	9638	1.551
1	-0.96294	0	1 1 1 1 0 1 1 0 1 0	89790	1.876
1	-0.48315	0	1 1 0 0 1 0 0 1 1 0	51136	0.690
1	-0.70453	0	1 1 1 0 0 0 0 1 1 0	44935	1.029
1	-0.61863	0	1 1 0 1 1 0 0 1 1 0	35154	0.745
0	0	2	1 1 1 0 0 0 1 0 1 0	9758	1.457
1	-0.64055	2	0 0 1 1 0 0 0 0 1 0	77805	1.044
0	0	2	1 1 0 0 0 0 0 0 1 0	5952	0.685
1	-0.73669	0	1 1 1 1 0 0 0 0 1 0	123186	1.427
1	-0.68325	1	1 1 1 1 0 0 0 0 1 0	115884	1.045
0	0	0	1 1 0 0 1 0 0 1 1 0	20882	0.536
1	-0.41516	1	1 1 1 0 0 0 0 0 1 0	141789	1.449
1	-0.21875	0	1 1 1 0 0 0 1 0 1 0	157185	0.631
0	0	2	1 1 1 1 0 0 1 0 1 0	81200	1.036
1	0.046768	0	1 1 1 0 0 0 1 0 1 0	140859	1.271
0	0	0	1 1 1 1 0 0 0 0 1 0	57498	1.167
0	0	0	0 1 1 0 0 0 1 0 1 0	93467	1.089
1	-0.81345	0	1 1 1 1 1 1 1 0 1 0	24472	1.386
1	-0.6635	0	1 1 1 1 1 0 0 0 1 0	40672	1.515
0	0	0	1 1 0 1 1 0 0 0 1 0	84099	0.993
0	0	0	1 1 0 0 1 0 0 1 1 1	40425	0.672
1	-0.81309	0	1 1 1 0 0 0 0 0 1 0	4080	1.787
1	0.025695	0	1 1 1 0 0 0 1 0 0 0	151364	1.517
1	-0.3742	0	1 1 1 0 0 0 1 0 0 0	115432	1.225
0	0	0	1 1 1 1 1 0 1 0 1 1	157994	0.983
0	0	0	1 1 0 1 0 0 1 0 1 0	72539	0.868
0	0	0	1 1 1 1 0 0 1 0 1 0	42210	1.045
1	-0.94253	2	1 1 1 0 0 0 0 0 1 0	13080	0.908
1	-0.3506	1	1 1 1 1 0 0 0 0 1 0	139682	1.276
1	-0.70148	0	1 1 1 1 0 1 1 0 1 0	92748	1.352
1	-0.42562	0	1 1 1 0 0 0 0 0 1 0	165390	1.209
0	0	1	1 1 0 1 1 0 0 0 1 0	26741	1.833
1	-0.18194	0	1 1 1 0 0 0 0 0 1 0	83475	1.189
0	0	2	1 1 1 0 0 0 1 0 1 1	94900	1.405
1	-0.66489	2	0 1 1 0 0 0 0 0 1 0	9492	0.741
0	0	0	1 1 0 1 1 0 0 0 1 0	29463	0.879
0	0	0	1 1 0 1 1 0 1 0 1 0	41535	0.915
1	-0.50081	0	1 1 0 1 0 0 1 0 0 0	16875	1.081
0	0	0	1 1 1 1 0 0 0 0 1 0	14630	2.487
1	-0.94435	0	1 1 0 1 0 0 0 0 1 0	155500	0.621
1	-0.6646	2	1 1 1 0 0 0 0 0 1 0	150080	0.682
0	0	0	1 1 1 1 1 1 1 0 0 0	18048	0.907
0	0	0	1 1 0 0 1 0 0 1 1 0	117236	1.175
0	0	0	1 1 1 1 1 0 0 0 1 0	73160	1.315
1	-0.93215	2	1 1 1 1 0 0 1 0 1 0	106491	0.500
0	0	0	1 1 1 1 0 0 0 0 1 0	116522	1.416
0	0	0	1 1 1 1 0 0 0 0 1 1	75969	1.777
0	0	0	1 1 0 1 0 0 0 0 1 1	10050	0.443
1	-0.55207	1	0 1 1 0 0 0 1 0 0 0	26299	1.864
1	-0.87136	2	1 1 1 1 0 0 1 0 1 0	94962	1.099
1	-0.50386	0	1 1 1 0 0 0 1 0 1 0	165336	1.502
0	0	0	1 1 1 1 0 0 1 0 1 0	11135	0.646
1	-0.80534	1	1 1 0 0 0 0 0 1 1 1	77028	1.123
1	-0.074497	0	1 1 1 1 0 0 0 0 1 0	127534	0.912
0	0	0	1 1 1 1 0 0 1 0 0 0	13416	1.824
0	0	0	1 1 1 1 0 0 1 0 1 0	65664	0.791
0	0	0	1 1 1 1 0 0 1 0 1 0	25669	1.455
0	0	0	1 1 1 1 0 0 0 0 1 0	47874	0.852
1	-0.80732	0	0 0 1 0 0 0 1 0 0 0	173500	1.442
0	0	0	1 1 1 1 1 0 0 0 1 0	31680	0.807
0	0	0	1 1 1 1 0 0 0 0 1 0	20736	0.789
1	-0.58415	0	1 1 1 1 1 0 0 0 1 0	79520	1.014
