det	conf	occ	p1 p2 v1 v2 size	ratio(w/h)
0	0	1	1 1 1 0	21980	0.891
1	-0.76379	2	0 1 0 1	62205	1.639
1	-0.13617	2	1 1 1 1	67925	1.558
1	-0.68272	1	0 1 0 1	72500	3.465
1	-0.079396	2	1 1 1 1	116312	1.895
1	-0.87941	2	0 1 1 1	32663	4.159
1	-0.45218	2	0 1 1 1	48576	1.571
1	-0.90455	2	0 1 1 1	95432	1.047
1	-0.79034	1	0 1 0 1	66893	2.947
1	-0.81728	1	0 1 0 1	120848	0.912
1	-0.4768	1	1 1 1 1	74108	2.037
1	-0.7414	2	0 1 1 1	69915	2.239
1	-0.93498	3	0 1 0 1	165000	1.517
1	-0.86999	1	1 1 1 1	53550	1.858
0	0	2	1 1 1 1	34362	1.810
0	0	2	0 1 0 1	172326	0.807
1	-0.76954	2	0 1 0 1	149296	1.650
1	-0.50913	0	1 1 1 0	58968	0.928
1	-0.90283	2	0 1 0 1	168000	0.837
0	0	2	1 1 1 1	7220	1.253
1	-0.82	1	1 1 1 1	43806	1.980
1	0.17891	2	1 1 1 1	112050	2.219
0	0	0	1 1 1 1	25551	1.092
1	-0.61643	2	1 1 1 1	18966	1.602
0	0	1	1 1 1 1	23940	1.512
0	0	3	0 1 1 1	12675	3.031
0	0	2	1 1 1 1	89102	1.003
1	-0.71411	1	0 1 0 1	169000	1.481
0	0	3	0 1 0 1	101559	1.200
1	-0.16388	1	1 1 1 1	20608	1.649
1	-0.73716	1	1 1 1 1	7905	1.095
1	-0.70854	1	0 1 1 1	8625	1.541
1	-0.21099	1	0 1 1 1	7049	2.538
0	0	2	1 1 1 1	4380	0.819
1	-0.15596	2	0 1 0 1	104647	2.035
1	-0.71065	2	0 1 0 1	91154	1.612
1	-0.46245	1	0 1 1 1	145000	1.727
1	-0.30685	2	0 1 1 1	53088	1.886
0	0	1	1 1 1 1	20700	1.570
0	0	1	0 1 1 1	20383	0.581
0	0	0	1 1 1 1	21222	1.238
1	-0.765	2	0 1 1 1	49997	1.674
0	0	2	0 1 0 1	180306	1.311
1	-0.63862	1	1 1 1 0	3819	0.848
1	-0.75375	2	0 1 0 1	51474	2.715
0	0	2	1 1 1 1	34182	1.304
1	-0.14725	1	0 1 1 1	80275	2.821
1	-0.87583	0	1 1 1 1	15840	1.622
1	-0.10049	1	1 1 1 1	36894	1.810
1	-0.32326	2	0 1 0 1	142000	1.763
1	-0.25054	2	0 1 1 1	59444	2.516
1	0.79448	1	1 1 1 1	44274	2.236
1	-0.38204	1	1 1 1 1	36273	3.189
1	-0.23074	2	0 1 0 1	153692	1.622
1	-0.64286	1	0 1 0 1	116584	2.098
0	0	0	1 1 1 0	11102	0.744
1	-0.57463	2	1 1 1 1	31800	1.416
0	0	1	1 1 1 1	11433	1.078
1	-0.54654	1	0 1 1 1	28449	2.407
1	-0.7531	2	0 1 0 1	30959	4.537
1	-0.57063	1	0 1 1 1	36828	2.407
0	0	2	0 1 1 1	27068	2.670
1	-0.92722	2	0 1 1 1	77520	1.193
0	0	1	1 1 1 0	32747	1.606
1	-0.56915	2	1 1 1 1	42935	1.792
1	-0.70947	1	1 1 1 1	23166	1.134
1	-0.57128	1	0 1 0 1	83990	1.633
1	-0.46845	2	0 1 1 1	148840	1.602
1	-0.80182	1	0 1 1 1	37248	2.283
1	-0.93031	2	0 1 1 1	69764	2.636
1	-0.36167	2	0 1 1 1	94354	1.549
1	-0.2902	2	1 1 1 1	154567	1.600
1	-0.15486	1	1 1 1 1	19418	1.098
0	0	1	1 1 1 0	36464	1.234
1	-0.77043	1	0 1 0 1	123000	2.037
1	-0.62018	3	0 1 0 1	77173	1.474
0	0	2	0 1 0 1	154577	0.708
0	0	2	0 1 1 1	39037	3.706
0	0	1	1 1 1 1	6643	0.800
0	0	2	0 1 1 1	78496	2.543
1	-0.37483	1	0 1 1 1	80352	3.075
1	-0.69198	1	1 1 1 1	18860	1.430
1	-0.65888	0	1 1 1 1	45276	1.179
0	0	1	0 1 1 1	54000	4.664
1	-0.38887	2	0 1 1 1	91800	2.212
1	-0.32096	2	0 1 1 1	43429	2.324
1	-0.25489	2	0 1 1 1	91264	2.705
1	-0.33651	2	0 1 1 1	72000	1.424
1	-0.92699	2	0 1 0 1	174096	1.414
1	-0.54168	2	0 1 1 1	70490	1.004
1	-0.51227	2	1 1 1 1	18318	1.102
0	0	1	0 1 0 1	145416	1.708
1	-0.5093	1	1 1 1 1	60997	1.867
0	0	1	0 1 1 1	48138	3.795
0	0	1	1 1 1 1	13375	1.170
1	-0.72787	1	0 1 0 1	173153	1.439
1	-0.14619	2	0 1 1 1	65527	2.538
1	-0.4399	2	0 1 1 1	64020	1.324
1	-0.93765	2	0 1 1 1	37760	1.478
1	-0.19593	1	1 1 1 1	60564	2.815
0	0	2	0 1 1 1	17936	1.291
0	0	1	1 1 1 0	5576	0.827
