det	conf	occ	p1 p2 p3 p4 p5 p6 v1 v2 v3 v4 v5 size	ratio(w/h)
0	0	0	1 1 1 1 1 1 0 0 0 1 1	70400	2.280
0	0	0	1 1 1 0 1 1 0 0 0 1 0	16016	2.724
0	0	1	1 1 1 0 1 1 0 0 0 1 0	14475	2.595
0	0	0	1 1 1 1 1 1 0 0 0 1 0	12090	2.000
1	-0.74602	0	1 1 1 0 1 1 0 0 0 0 1	33867	1.342
1	-1.0598	0	1 1 1 1 1 1 1 0 0 1 0	24780	1.786
1	0.028127	2	1 1 1 0 0 1 0 1 0 1 0	124232	0.690
0	0	0	1 1 1 0 1 0 0 0 0 1 0	962	0.694
0	0	0	1 0 0 0 1 1 0 0 0 1 0	1584	0.681
1	-0.49043	1	1 0 0 0 1 1 0 0 0 1 1	25441	2.412
1	0.45686	1	1 1 1 0 1 1 0 0 0 1 0	99530	1.377
0	0	0	1 1 1 1 0 0 0 1 0 1 0	2530	0.833
0	0	1	1 1 1 0 1 1 0 0 0 1 0	16236	1.074
1	-0.44109	1	1 1 1 1 1 0 0 1 0 1 0	25168	0.811
1	-0.6982	0	1 1 1 1 1 1 0 0 0 1 1	14337	2.200
0	0	0	1 0 1 1 1 1 0 0 1 1 1	17542	0.545
1	-0.17994	1	1 0 0 0 0 1 0 0 0 1 1	102300	2.119
1	-0.60304	1	1 1 1 0 1 1 1 0 0 1 0	4698	1.404
1	-0.46233	1	1 1 1 0 1 0 1 1 0 0 0	3690	0.449
1	-0.61863	0	1 1 1 1 1 1 1 0 0 1 0	42174	2.099
0	0	2	1 1 1 1 1 1 1 0 0 1 0	6270	0.478
1	0.66729	0	1 1 1 1 0 1 0 1 0 1 0	74928	0.663
0	0	0	1 0 1 0 1 1 0 0 0 1 0	2700	1.341
0	0	0	1 0 1 0 1 1 0 0 0 1 0	5180	1.058
0	0	0	1 0 0 0 1 1 0 0 0 1 0	3752	1.200
0	0	0	1 0 0 1 1 1 1 0 0 1 0	4489	1.000
1	-0.64332	0	1 0 0 0 1 1 0 0 0 1 0	2968	1.058
1	-0.61778	1	1 1 1 1 1 1 0 0 0 1 0	86100	1.424
1	-0.89309	0	1 1 1 1 1 1 0 0 0 1 0	15651	0.786
1	-0.78166	1	1 1 1 1 0 1 0 0 0 1 0	7597	0.660
1	-0.78513	0	1 1 1 1 1 1 0 0 0 1 0	14070	0.782
1	-0.84137	0	1 1 1 1 1 1 0 0 0 1 0	51410	0.731
0	0	0	1 0 1 1 0 0 0 1 0 0 0	828	0.629
1	-0.30139	0	1 0 0 0 1 1 0 0 0 1 0	957	1.143
0	0	0	1 0 0 0 1 1 0 0 0 1 0	490	2.615
0	0	0	1 0 0 0 1 1 1 0 0 1 0	2592	1.128
