det	conf	occ	p1 p2 p3 p4 v1 v2 v3 v4 v5 size	ratio(w/h)
1	0.22846	1	1 0 0 1 0 0 1 1 0	4161	0.778
0	0	2	1 0 0 1 0 0 1 1 0	1947	0.552
1	-0.17244	1	1 0 0 1 0 0 1 0 0	3220	0.374
1	0.034446	0	1 1 1 1 0 0 0 0 1	129998	1.345
1	-0.30403	1	0 1 0 1 0 1 0 0 0	11659	0.677
0	0	1	0 1 0 1 0 1 0 0 0	4558	0.612
1	-0.71727	1	0 1 0 1 0 1 0 0 0	9398	0.579
1	0.35451	0	1 1 1 1 0 0 0 0 1	34428	1.513
1	-0.071099	1	1 1 0 1 0 0 0 0 1	29212	1.632
0	0	1	1 0 1 1 0 0 0 0 1	26832	2.495
1	-0.2009	2	1 1 0 1 0 0 0 0 1	20250	1.112
1	0.42922	1	0 1 1 1 0 0 1 0 0	8844	0.504
1	0.92443	0	1 1 1 1 0 0 0 0 1	153683	1.571
0	0	1	1 1 0 1 0 1 0 1 0	5655	0.744
0	0	1	1 1 0 1 0 1 0 1 0	5696	0.716
1	-0.64578	1	1 1 0 1 0 1 0 1 0	6097	0.733
1	0.53026	1	1 1 0 1 0 1 0 1 0	6532	0.769
1	-0.60495	1	0 1 0 1 0 1 0 0 0	54014	1.058
0	0	2	0 1 0 1 0 1 0 0 0	34454	0.751
1	-0.5979	0	0 0 0 1 0 0 0 0 1	113080	1.715
1	1.065	0	1 1 1 1 0 0 0 0 1	94570	1.578
0	0	2	1 1 1 1 0 0 0 0 1	92484	1.458
0	0	1	1 1 0 1 0 0 0 0 1	11664	1.000
0	0	0	1 1 0 1 0 1 0 1 1	133533	1.205
1	0.47226	1	1 1 1 1 0 0 0 0 1	31464	1.364
0	0	0	1 1 1 0 0 0 1 1 0	3551	1.269
1	-0.9629	0	1 1 1 1 0 0 1 1 0	4480	1.436
1	-1.0938	0	1 1 1 1 0 0 1 1 0	6177	1.229
0	0	0	1 1 1 1 0 0 0 0 1	8480	1.329
0	0	2	1 1 1 1 0 0 0 0 1	6461	1.286
0	0	2	0 1 0 1 0 0 0 0 1	58220	0.460
0	0	2	0 1 0 1 0 1 0 1 0	50836	0.395
1	-0.81707	0	1 1 1 1 0 1 0 1 0	87560	1.813
1	0.7593	0	1 1 1 1 0 0 0 0 1	55860	1.268
1	0.13761	1	1 1 0 1 0 1 0 1 0	17864	0.752
1	-0.62255	0	1 1 1 1 0 0 0 0 1	9317	1.579
1	-0.37071	0	1 1 1 1 0 0 0 0 1	143840	1.498
1	-0.14393	1	1 1 0 1 0 1 0 1 0	14476	0.608
1	-0.5115	1	1 1 0 1 0 0 0 0 1	3445	1.231
0	0	2	0 1 0 1 0 1 0 1 0	4455	0.449
1	-0.81534	2	1 0 0 1 0 0 0 0 1	2418	1.605
0	0	1	1 1 0 1 0 1 0 0 0	10224	0.490
0	0	2	1 1 0 1 0 1 0 1 0	22066	1.590
1	0.72764	0	1 1 1 1 0 0 0 0 1	174500	1.434
0	0	1	1 1 0 1 0 1 0 1 0	56386	1.039
0	0	1	1 1 0 1 0 0 0 0 1	33369	1.548
1	0.52607	2	1 1 0 1 0 0 0 0 1	57816	1.206
1	-0.10377	1	1 0 0 1 0 0 0 0 1	26532	0.655
1	0.16593	1	1 1 0 1 0 0 0 0 1	6039	1.633
1	-0.2181	2	1 1 0 1 0 0 0 0 1	5544	1.403
1	-0.18079	0	1 1 0 1 0 0 0 0 1	9200	1.443
1	0.19853	0	1 1 1 1 0 0 0 0 1	122255	2.041
1	-0.0011119	1	1 1 0 1 0 0 0 0 1	32190	1.535
1	-0.11104	1	1 1 0 1 0 0 0 0 1	43183	1.091
1	-0.064432	0	1 1 1 1 0 0 0 0 1	142675	1.352
1	-0.42339	1	1 1 0 1 0 1 0 1 0	70560	0.710
1	-0.033485	1	1 1 0 1 0 1 0 1 0	26250	0.593
1	-0.27657	1	1 1 0 1 0 1 0 1 0	43255	0.971
1	-0.50567	2	1 1 0 1 0 1 0 1 0	28413	0.530
1	0.63289	1	1 1 0 1 0 0 0 0 1	38664	1.208
1	0.090955	1	1 1 0 1 0 1 0 1 0	5472	0.589
0	0	2	0 1 0 1 0 0 0 0 1	3240	0.620
1	-0.52904	1	1 1 1 1 0 1 0 1 0	20234	0.887
1	-1.023	2	1 1 0 0 0 0 0 0 1	65664	3.182
1	0.69726	1	1 1 0 1 0 0 0 0 1	46010	1.005
1	-1.1531	1	1 0 1 1 0 0 0 0 1	173500	1.442
0	0	0	0 0 1 1 0 0 0 0 1	108052	1.911
1	0.18091	1	0 1 0 1 0 1 0 0 0	5194	0.536
1	1.1227	1	1 1 0 1 0 0 0 0 1	29651	1.338
1	-0.31028	1	1 1 0 1 0 1 0 1 0	18584	0.546
0	0	0	1 1 1 1 0 0 1 1 0	131274	1.066
1	0.98148	1	1 1 1 1 0 0 0 0 1	41634	1.590
1	-0.60466	1	1 0 0 1 0 0 0 0 1	2772	1.442
0	0	1	1 1 0 1 0 1 0 1 1	6020	0.812
1	-0.55547	1	1 1 1 1 0 0 0 0 1	3630	1.204
0	0	1	1 1 1 1 0 1 0 1 0	15548	1.846
1	-1.0449	3	1 1 0 0 0 0 0 0 1	75591	1.469
1	-0.98093	3	0 1 0 1 0 0 0 0 1	4452	1.596
0	0	0	1 1 0 1 0 0 0 0 1	1665	1.222
1	0.64305	1	1 1 0 1 0 0 1 1 0	16983	0.724
1	1.3157	1	1 1 0 1 0 0 0 0 1	12880	1.027
1	0.90207	1	1 1 0 1 0 0 0 0 1	11446	0.821
1	0.088645	1	1 1 1 1 0 0 1 1 0	43262	0.869
1	0.59288	0	1 1 1 1 0 1 0 1 0	61953	0.600
1	-0.045593	1	1 1 0 1 0 1 0 1 0	62910	0.862
1	-0.3129	2	1 1 1 1 0 0 0 0 1	59598	1.523
1	-0.27747	1	1 1 1 1 0 0 0 0 1	54020	1.582
1	-1.2203	2	0 1 0 1 0 1 0 1 0	38080	1.950
1	-0.81599	2	1 1 0 1 0 1 0 1 0	35371	1.333
1	-0.11312	1	1 1 1 1 0 0 1 1 0	96089	0.697
1	0.22827	1	1 1 1 1 0 0 0 0 1	13206	1.533
1	0.77016	1	1 1 1 1 0 0 0 0 1	19620	1.657
0	0	1	0 1 0 0 0 0 0 0 1	24192	3.458
1	0.72547	0	1 1 1 1 0 0 0 0 1	63048	1.392
1	-0.086917	1	1 1 0 1 0 0 0 0 1	12100	1.000
1	-0.98105	1	1 1 0 1 0 0 0 0 1	23712	1.026
1	-0.046011	0	1 1 1 1 0 1 0 1 0	74354	0.686
1	-0.411	0	1 1 1 1 0 0 0 0 1	103660	1.286
0	0	1	1 1 1 1 0 0 0 0 1	80028	1.464
1	-0.59572	1	1 1 1 1 0 0 0 0 1	79502	1.233
1	0.076617	1	1 1 1 1 0 0 0 0 1	123403	1.479
1	0.47615	1	1 1 0 1 0 0 0 0 1	36708	1.419
1	0.18059	1	0 1 0 1 0 1 0 1 0	8946	0.440
1	-0.53499	2	1 0 0 1 0 0 0 0 1	12467	1.511
0	0	1	1 1 0 1 0 1 0 1 0	24450	0.920
1	1.0378	1	1 1 0 1 0 0 0 0 1	44571	0.718
1	-0.14417	1	1 1 0 1 0 0 0 0 1	21708	0.535
1	-0.71497	0	1 1 1 1 0 1 0 1 0	1716	0.884
1	0.22098	0	1 1 1 1 0 0 1 1 0	61404	0.922
1	1.0031	0	1 1 1 1 0 0 0 0 1	110770	1.580
0	0	2	0 1 0 1 0 0 1 0 0	31812	0.546
1	0.54863	0	1 1 1 1 0 0 0 0 1	129687	1.342
1	-0.24399	0	1 1 1 1 0 0 0 0 1	29181	1.559
0	0	2	1 1 1 1 0 0 0 0 1	31326	1.650
0	0	0	1 1 1 1 0 0 0 0 1	30492	1.756
1	-0.28946	2	1 1 1 1 0 0 0 0 1	30150	1.684
1	-0.33054	1	1 1 0 1 0 0 0 0 1	50463	1.415
1	-0.82583	1	1 1 1 1 1 0 0 1 0	46830	0.941
1	-0.2272	0	1 1 1 1 1 0 1 1 0	187500	1.334
1	-1.3329	0	0 1 1 1 0 1 0 1 0	63640	1.379
0	0	2	1 1 1 1 0 0 1 1 0	47025	0.929
1	-0.88125	0	1 1 0 1 0 0 0 0 1	139672	1.400
1	-0.073269	1	1 1 1 1 0 0 0 0 1	37604	1.510
1	-0.50735	1	0 1 0 1 0 0 1 0 0	3773	0.632
1	-1.0354	1	1 1 0 1 0 0 0 0 1	52966	2.638
1	-1.2663	2	1 0 0 1 0 0 0 0 1	33495	1.232
1	0.63849	1	1 1 0 1 0 0 0 0 1	63956	1.149
0	0	1	1 1 0 1 0 0 0 0 1	5035	1.808
1	0.4843	1	1 1 0 1 0 0 0 0 1	5472	1.696
1	-0.5579	0	1 1 1 1 0 0 1 1 0	3196	0.687
1	0.050854	1	1 1 1 1 0 0 0 0 1	6552	1.268
1	0.52687	1	1 1 0 1 0 0 0 0 1	8066	1.479
1	-0.32077	2	1 0 0 1 0 0 0 0 1	6365	1.424
1	-0.58467	2	1 0 0 1 0 0 0 0 1	5040	0.972
1	-0.34668	1	1 1 0 1 0 1 0 1 0	3102	0.708
1	-0.49488	1	1 1 0 1 0 1 0 1 0	43416	1.658
1	-0.80863	1	1 1 0 1 0 0 0 0 1	54033	0.871
1	-0.18417	1	1 1 0 1 0 1 0 1 0	29232	0.965
1	0.33744	1	1 1 1 1 0 0 0 0 1	48208	1.426
1	0.27718	1	1 1 0 1 0 0 0 0 1	39150	2.157
1	-0.065127	1	1 1 0 1 0 0 0 0 1	20002	0.938
1	0.10758	1	1 1 1 1 0 0 0 0 1	40080	1.440
1	1.0342	0	1 1 1 1 0 0 0 0 1	146470	1.608
1	-0.9165	1	0 1 1 1 0 1 0 0 0	58460	0.584
1	0.078995	0	1 1 1 1 0 0 0 0 1	141198	1.540
1	0.67407	0	1 1 1 1 0 0 0 0 1	161704	1.505
0	0	2	1 1 1 1 0 0 0 0 1	135441	1.477
1	-0.29679	1	1 1 1 1 0 0 0 0 1	88102	1.875
0	0	1	1 1 1 1 0 0 0 0 1	24021	0.974
1	-0.68188	2	1 1 1 1 0 0 0 0 1	23628	0.736
1	-0.13941	3	1 1 1 1 0 0 0 0 1	28620	1.133
0	0	2	1 0 1 1 0 0 0 0 1	9072	0.776
1	-0.71557	2	0 1 0 1 0 0 0 0 1	7384	0.680
0	0	0	1 1 1 1 0 0 0 0 1	106398	1.613
1	-0.35729	0	1 0 1 1 0 0 1 0 0	21648	0.308
1	0.066759	0	1 1 1 1 0 0 0 0 1	113553	0.976
0	0	0	1 1 1 1 0 0 0 0 1	52580	0.920
1	0.67007	1	1 1 0 1 0 1 0 1 0	17066	0.656
1	0.097325	1	1 1 0 1 0 1 0 0 0	17980	0.747
1	-0.080493	0	1 1 1 1 0 0 0 0 1	134048	1.664
1	-1.1856	0	1 1 1 0 0 0 0 0 1	46238	3.124
1	-0.81786	1	1 1 0 1 0 0 0 0 1	2166	1.514
0	0	1	1 0 0 1 0 0 0 0 1	1040	1.560
1	0.67319	0	1 1 1 1 0 0 0 0 1	126990	1.357
1	-0.57549	1	1 1 0 1 0 1 0 1 0	17952	1.031
1	-0.39802	0	1 1 1 1 1 0 0 1 0	116874	1.282
0	0	1	1 1 1 1 0 0 0 0 1	44620	0.843
1	-0.070038	1	1 0 0 1 0 1 0 1 0	90118	1.094
1	-0.47501	1	1 1 1 1 0 0 1 1 0	36820	0.531
1	-0.0090003	0	1 1 1 1 0 0 0 0 1	17380	1.440
1	-0.80748	0	1 1 0 1 0 0 0 0 1	142096	0.775
1	-0.7521	1	1 1 1 1 0 0 1 1 0	33748	0.411
1	-0.6005	0	1 1 0 1 0 0 1 1 0	150199	0.602
0	0	1	1 1 1 1 0 0 0 0 1	9592	1.241
0	0	2	1 1 0 1 0 0 0 0 1	18285	1.386
1	-0.47352	0	1 1 0 1 0 0 0 0 1	120704	0.891
1	-0.85516	1	1 1 1 1 0 0 1 0 0	31416	0.553
0	0	1	1 1 1 1 0 0 1 1 0	35358	0.778
0	0	2	1 1 1 1 0 0 0 0 1	2262	1.500
1	-0.48163	1	1 1 1 1 0 0 0 0 1	6806	0.988
1	0.30936	1	1 1 0 1 0 1 0 0 0	6313	0.547
1	1.1145	1	1 1 1 1 0 0 0 0 1	41772	1.335
1	-0.088554	1	1 1 1 1 0 0 1 1 0	145304	0.740
1	0.76605	1	1 1 0 1 0 1 0 1 0	14060	0.639
1	-0.589	2	1 1 0 1 0 0 0 0 1	42090	2.219
0	0	2	1 1 0 0 0 0 0 0 1	34048	2.730
1	0.028562	1	0 1 0 1 0 1 0 0 0	6660	0.536
1	0.44155	1	1 1 0 1 0 0 0 0 1	35280	1.806
1	0.63589	1	1 1 0 1 0 0 0 0 1	5478	1.262
0	0	1	1 1 0 1 0 0 0 0 1	5475	0.973
1	-0.17433	1	1 1 0 1 0 0 0 0 1	3300	0.915
1	0.14037	0	1 1 1 1 0 0 0 0 1	74970	1.250
1	0.36539	0	1 1 1 1 0 0 0 0 1	64625	1.171
1	-0.3777	0	1 1 1 1 0 0 0 0 1	63135	1.476
1	-0.43771	1	1 1 0 1 0 1 0 0 0	28085	0.667
1	0.38839	1	1 1 1 1 0 0 0 0 1	25696	1.207
1	0.38249	1	1 1 1 1 0 0 1 1 0	36256	0.854
1	0.13482	1	1 1 1 1 0 0 0 0 1	36764	0.900
1	-0.59666	0	1 1 1 1 0 0 1 1 0	2400	0.661
0	0	0	1 1 1 1 0 0 0 0 1	10622	1.204
1	-0.79272	0	1 1 0 1 0 0 0 0 1	10192	0.811
1	0.93797	0	1 1 1 1 0 0 0 0 1	29469	1.486
1	0.86282	1	1 1 0 1 0 0 0 0 1	43824	1.417
0	0	0	1 1 1 1 0 1 0 1 0	6768	0.763
0	0	1	1 1 1 1 0 0 0 0 1	2016	1.146
0	0	2	1 1 0 1 0 0 0 0 1	2109	0.643
1	0.43625	0	1 1 1 1 0 0 1 1 0	99498	1.042
1	0.36781	1	1 1 0 1 0 0 0 0 1	19040	1.347
0	0	2	0 1 0 1 0 0 0 0 1	2380	1.971
1	-0.096707	1	1 1 1 1 0 0 0 0 1	6450	1.149
1	0.73851	1	1 1 0 1 0 0 0 0 1	50750	1.233
1	-0.24805	1	1 1 0 1 0 0 0 0 1	55120	1.275
1	-0.34587	1	1 1 1 1 0 0 0 0 1	173802	1.428
1	0.4969	1	1 1 0 1 0 0 0 0 1	34626	0.874
1	-1.2413	0	0 0 0 1 0 0 0 0 1	18048	0.907
0	0	0	1 1 1 1 0 0 0 0 1	4505	1.615
1	-0.46015	0	1 1 1 1 0 0 0 0 1	4020	1.119
0	0	1	1 1 1 1 0 0 1 1 0	2170	0.557
1	-0.85144	0	1 1 1 1 0 1 0 1 0	16660	1.742
0	0	0	0 1 0 1 0 0 1 1 0	14450	2.012
1	-0.2489	0	1 1 1 1 1 0 1 1 0	22940	0.955
0	0	0	1 0 1 1 0 0 0 0 1	186127	1.339
1	0.86398	0	1 1 1 1 0 0 0 0 1	146772	1.611
1	0.34968	0	1 1 1 1 0 0 0 0 1	20304	1.748
1	-0.19325	2	1 1 0 1 0 0 1 1 0	70983	0.804
1	-0.20393	1	1 0 0 1 0 0 0 0 1	56034	0.699
0	0	1	0 1 0 1 0 0 0 0 1	16120	0.669
1	-0.24066	1	1 1 1 1 0 0 0 0 1	58032	1.343
1	-1.1627	2	1 0 0 1 0 0 0 0 1	21228	1.430
1	-1.0165	1	1 1 0 1 0 0 0 0 1	62748	0.438
0	0	0	1 1 1 1 0 0 1 1 0	7493	0.460
0	0	0	1 1 1 1 0 0 0 0 1	2835	1.409
0	0	0	1 1 1 1 0 0 0 0 1	2346	1.111
1	-0.51418	2	1 1 0 1 0 0 1 1 0	11286	0.867
0	0	3	0 1 0 1 0 0 1 0 0	13426	0.713
1	0.64197	1	1 1 0 1 0 0 0 0 1	22940	1.496
1	-0.24605	2	1 1 0 1 0 0 0 0 1	16100	1.616
0	0	3	1 1 0 1 0 0 0 0 1	8188	1.034
1	0.85106	1	1 1 1 1 0 1 0 1 0	29440	0.869
1	-0.39987	0	1 1 1 1 0 1 0 1 0	10260	1.138
1	-0.11396	1	1 1 0 1 0 1 0 1 0	42158	0.920
0	0	2	1 0 1 1 0 0 0 0 1	34485	1.268
1	0.16626	0	1 1 1 1 0 0 0 0 1	82467	1.548
1	0.66982	0	1 1 1 1 0 0 0 0 1	171310	1.252
0	0	0	1 1 1 1 0 0 1 0 0	18837	0.437
1	0.060547	1	1 1 0 1 0 1 0 1 0	5922	0.368
1	-0.002796	1	1 1 0 1 0 1 0 0 0	11324	0.507
1	0.38734	1	1 1 0 1 0 0 0 0 1	88672	0.834
1	-1.0719	0	1 0 0 1 0 0 0 0 1	164672	1.495
1	0.7679	0	1 1 1 1 0 0 0 0 1	79870	1.332
1	0.87078	0	1 1 1 1 0 0 0 0 1	117920	1.644
1	0.87216	0	1 1 1 1 0 0 0 0 1	31160	1.160
1	0.72095	0	1 1 1 1 0 0 0 0 1	80543	1.412
1	-0.53345	1	1 1 1 1 0 0 1 1 0	39476	1.965
1	-0.74259	0	1 1 1 1 0 0 0 0 1	29601	1.451
1	0.72127	1	1 1 0 1 0 0 0 0 1	10492	1.424
1	0.44635	1	1 1 0 1 0 0 0 0 1	6486	1.368
0	0	0	1 1 1 1 0 0 0 0 1	11102	1.344
0	0	0	1 1 1 1 0 0 0 0 1	15040	1.710
1	0.82839	1	1 1 0 1 0 0 1 1 0	10780	1.124
1	-0.77416	0	1 1 1 1 0 0 0 0 1	97730	1.163
1	0.49061	0	1 1 1 1 0 0 0 0 1	15624	1.016
1	-1.2611	1	1 1 0 1 0 0 0 0 1	40992	0.816
1	-1.0488	0	0 1 0 0 0 0 0 0 1	58300	1.205
1	1.4421	0	1 1 1 1 0 0 0 0 1	118680	1.560
1	1.5086	0	1 1 1 1 0 0 0 0 1	88638	1.581
0	0	1	1 1 0 1 0 1 0 1 0	66440	1.374
1	0.52728	0	1 1 1 1 0 0 0 0 1	123690	1.751
